term	valence	unicode codepoint
😂	positive	0x1f602
❤	positive	0x2764
♥	positive	0x2665
😍	positive	0x1f60d
😭	negative	0x1f62d
😘	positive	0x1f618
😊	positive	0x1f60a
👌	positive	0x1f44c
💕	positive	0x1f495
👏	positive	0x1f44f
😁	positive	0x1f601
☺	positive	0x263a
♡	positive	0x2661
👍	positive	0x1f44d
😩	negative	0x1f629
🙏	positive	0x1f64f
✌	positive	0x270c
😏	positive	0x1f60f
😉	positive	0x1f609
🙌	positive	0x1f64c
🙈	positive	0x1f648
💪	positive	0x1f4aa
😄	positive	0x1f604
😒	negative	0x1f612
💃	positive	0x1f483
💖	positive	0x1f496
😃	positive	0x1f603
😔	negative	0x1f614
😱	positive	0x1f631
🎉	positive	0x1f389
😜	positive	0x1f61c
🌸	positive	0x1f338
💜	positive	0x1f49c
💙	positive	0x1f499
✨	positive	0x2728
💗	positive	0x1f497
☀	positive	0x2600
😡	negative	0x1f621
😎	positive	0x1f60e
😢	positive	0x1f622
💋	positive	0x1f48b
😋	positive	0x1f60b
🙊	positive	0x1f64a
😴	negative	0x1f634
🎶	positive	0x1f3b6
💞	positive	0x1f49e
😌	positive	0x1f60c
💯	positive	0x1f4af
🔫	negative	0x1f52b
💛	positive	0x1f49b
💁	positive	0x1f481
💚	positive	0x1f49a
😞	negative	0x1f61e
😆	positive	0x1f606
😝	positive	0x1f61d
😪	negative	0x1f62a
😫	negative	0x1f62b
😅	positive	0x1f605
👊	positive	0x1f44a
💀	negative	0x1f480
😀	positive	0x1f600
😚	positive	0x1f61a
😻	positive	0x1f63b
💘	positive	0x1f498
👋	positive	0x1f44b
✋	positive	0x270b
🎊	positive	0x1f38a
🍕	positive	0x1f355
❄	positive	0x2744
😥	positive	0x1f625
😕	negative	0x1f615
💔	negative	0x1f494
😤	negative	0x1f624
😈	positive	0x1f608
✈	positive	0x2708
🔝	positive	0x1f51d
😰	negative	0x1f630
⚽	positive	0x26bd
😑	negative	0x1f611
👑	positive	0x1f451
😹	positive	0x1f639
👉	positive	0x1f449
🍃	positive	0x1f343
🎁	positive	0x1f381
😠	negative	0x1f620
🐧	positive	0x1f427
☆	positive	0x2606
🎈	positive	0x1f388
😓	negative	0x1f613
😣	negative	0x1f623
😐	negative	0x1f610
✊	positive	0x270a
😨	negative	0x1f628
😖	negative	0x1f616
💤	positive	0x1f4a4
💓	positive	0x1f493
👎	negative	0x1f44e
💦	positive	0x1f4a6
😷	negative	0x1f637
🙋	positive	0x1f64b
🎄	positive	0x1f384
💩	negative	0x1f4a9
🎵	positive	0x1f3b5
😛	positive	0x1f61b
😬	positive	0x1f62c
👯	positive	0x1f46f
💎	positive	0x1f48e
🎂	positive	0x1f382
👫	positive	0x1f46b
🏆	positive	0x1f3c6
☝	positive	0x261d
😙	positive	0x1f619
⛄	positive	0x26c4
👅	positive	0x1f445
♪	positive	0x266a
🍂	positive	0x1f342
💏	positive	0x1f48f
🌴	positive	0x1f334
👈	positive	0x1f448
🌹	positive	0x1f339
🙆	positive	0x1f646
💰	positive	0x1f4b0
🍻	positive	0x1f37b
🙅	negative	0x1f645
🌞	positive	0x1f31e
🍁	positive	0x1f341
⭐	positive	0x2b50
🎀	positive	0x1f380
🐷	positive	0x1f437
🙉	positive	0x1f649
🌺	positive	0x1f33a
💅	positive	0x1f485
🐶	positive	0x1f436
🌚	positive	0x1f31a
👽	positive	0x1f47d
🎤	positive	0x1f3a4
👭	positive	0x1f46d
🎧	positive	0x1f3a7
👆	positive	0x1f446
🍸	positive	0x1f378
🍷	positive	0x1f377
🍉	positive	0x1f349
😇	positive	0x1f607
🏃	positive	0x1f3c3
😿	negative	0x1f63f
🍺	positive	0x1f37a
😲	negative	0x1f632
🎸	positive	0x1f3b8
🍹	positive	0x1f379
💫	positive	0x1f4ab
📚	positive	0x1f4da
😶	negative	0x1f636
🌷	positive	0x1f337
💝	positive	0x1f49d
💨	positive	0x1f4a8
🏈	positive	0x1f3c8
💍	positive	0x1f48d
☔	positive	0x2614
👸	positive	0x1f478
🇪	positive	0x1f1ea
🍩	positive	0x1f369
☁	positive	0x2601
🌻	positive	0x1f33b
😵	positive	0x1f635
↿	positive	0x21bf
🐯	positive	0x1f42f
👼	positive	0x1f47c
🍔	positive	0x1f354
😸	positive	0x1f638
👶	positive	0x1f476
↾	positive	0x21be
💐	positive	0x1f490
🌊	positive	0x1f30a
🍦	positive	0x1f366
🍓	positive	0x1f353
💆	positive	0x1f486
🍴	positive	0x1f374
😧	negative	0x1f627
🇸	positive	0x1f1f8
😮	positive	0x1f62e
🚫	negative	0x1f6ab
😽	positive	0x1f63d
🌈	positive	0x1f308
🙀	positive	0x1f640
🎮	positive	0x1f3ae
🍆	positive	0x1f346
🍰	positive	0x1f370
✓	positive	0x2713
👐	negative	0x1f450
🙇	positive	0x1f647
🍟	positive	0x1f35f
🍌	positive	0x1f34c
💑	positive	0x1f491
🐣	positive	0x1f423
🎃	positive	0x1f383
▬	positive	0x25ac
￼	negative	0xfffc
😟	positive	0x1f61f
🐾	positive	0x1f43e
🎓	positive	0x1f393
🏊	positive	0x1f3ca
🍫	positive	0x1f36b
📷	positive	0x1f4f7
👄	positive	0x1f444
🌼	positive	0x1f33c
🐱	positive	0x1f431
🇺	positive	0x1f1fa
👿	negative	0x1f47f
🚬	positive	0x1f6ac
✿	positive	0x273f
📖	positive	0x1f4d6
🐒	positive	0x1f412
🌍	positive	0x1f30d
┊	positive	0x250a
🐥	positive	0x1f425
🎥	positive	0x1f3a5
💄	positive	0x1f484
💸	positive	0x1f4b8
⛔	positive	0x26d4
🏀	positive	0x1f3c0
💉	positive	0x1f489
💟	positive	0x1f49f
♦	positive	0x2666
🌙	positive	0x1f319
🐟	positive	0x1f41f
👣	positive	0x1f463
✂	negative	0x2702
🗿	positive	0x1f5ff
🍝	positive	0x1f35d
👪	negative	0x1f46a
🍭	positive	0x1f36d
🌃	positive	0x1f303
❌	positive	0x274c
🐰	positive	0x1f430
💊	positive	0x1f48a
🚨	positive	0x1f6a8
😦	negative	0x1f626
🍪	positive	0x1f36a
🍣	negative	0x1f363
🎆	positive	0x1f386
🎎	positive	0x1f38e
🇩	positive	0x1f1e9
✅	positive	0x2705
📱	positive	0x1f4f1
🙍	negative	0x1f64d
🍑	positive	0x1f351
🔊	positive	0x1f50a
🌌	positive	0x1f30c
🍎	positive	0x1f34e
🐻	positive	0x1f43b
💇	positive	0x1f487
🔴	positive	0x1f534
🍱	negative	0x1f371
🍊	positive	0x1f34a
🍒	positive	0x1f352
🐭	positive	0x1f42d
👟	positive	0x1f45f
🌎	positive	0x1f30e
🍍	positive	0x1f34d
🐮	positive	0x1f42e
📲	positive	0x1f4f2
🌅	positive	0x1f305
🇷	positive	0x1f1f7
👠	positive	0x1f460
🌽	positive	0x1f33d
💧	negative	0x1f4a7
🍬	positive	0x1f36c
😺	positive	0x1f63a
🚀	positive	0x1f680
¦	positive	0xa6
🍧	positive	0x1f367
🍜	positive	0x1f35c
🐏	positive	0x1f40f
🏄	positive	0x1f3c4
🍋	positive	0x1f34b
🆗	positive	0x1f197
⚪	positive	0x26aa
📺	positive	0x1f4fa
🍅	positive	0x1f345
⛅	positive	0x26c5
👙	positive	0x1f459
🏡	positive	0x1f3e1
🌾	positive	0x1f33e
✏	positive	0x270f
🐬	positive	0x1f42c
🇹	positive	0x1f1f9
♣	positive	0x2663
🇮	positive	0x1f1ee
🔋	negative	0x1f50b
🐍	positive	0x1f40d
♔	positive	0x2654
🍳	positive	0x1f373
🔵	positive	0x1f535
😾	negative	0x1f63e
🌕	positive	0x1f315
🐨	positive	0x1f428
🔐	positive	0x1f510
💿	positive	0x1f4bf
🌳	positive	0x1f333
👰	positive	0x1f470
❀	positive	0x2740
⚓	positive	0x2693
🚴	positive	0x1f6b4
👗	positive	0x1f457
➕	positive	0x2795
💬	positive	0x1f4ac
🔜	positive	0x1f51c
🍨	positive	0x1f368
🍙	positive	0x1f359
🍥	negative	0x1f365
😼	positive	0x1f63c
🐙	positive	0x1f419
👨	positive	0x1f468
🍚	positive	0x1f35a
♨	positive	0x2668
♕	positive	0x2655
▃	positive	0x2583
👩	positive	0x1f469
🐠	positive	0x1f420
🚹	positive	0x1f6b9
💵	positive	0x1f4b5
✰	positive	0x2730
👛	positive	0x1f45b
🌱	positive	0x1f331
🌏	positive	0x1f30f
⚾	negative	0x26be
🌲	positive	0x1f332
👴	positive	0x1f474
🏠	positive	0x1f3e0
🍇	positive	0x1f347
🍘	positive	0x1f358
🍛	positive	0x1f35b
🐇	positive	0x1f407
👵	positive	0x1f475
🌵	positive	0x1f335
🍮	negative	0x1f36e
🎇	positive	0x1f387
🐎	positive	0x1f40e
🐤	positive	0x1f424
🛀	positive	0x1f6c0
🌑	positive	0x1f311
🚲	positive	0x1f6b2
🏁	positive	0x1f3c1
🎾	positive	0x1f3be
👮	negative	0x1f46e
☹	negative	0x2639
🐵	positive	0x1f435
◕	positive	0x25d5
🗼	positive	0x1f5fc
┳	negative	0x2533
👺	negative	0x1f47a
🗽	positive	0x1f5fd
🍵	positive	0x1f375
🆒	positive	0x1f192
🍯	positive	0x1f36f
⇨	positive	0x21e8
🌓	positive	0x1f313
🔒	positive	0x1f512
👳	positive	0x1f473
♩	positive	0x2669
💌	positive	0x1f48c
🐩	positive	0x1f429
🌜	positive	0x1f31c
🚿	positive	0x1f6bf
🔆	positive	0x1f506
🌛	positive	0x1f31b
💂	negative	0x1f482
🐔	positive	0x1f414
🙎	negative	0x1f64e
🏩	positive	0x1f3e9
🇫	positive	0x1f1eb
📢	positive	0x1f4e2
🐦	positive	0x1f426
♻	positive	0x267b
🌘	positive	0x1f318
🍐	positive	0x1f350
🌔	positive	0x1f314
╥	positive	0x2565
👖	positive	0x1f456
😗	positive	0x1f617
🐄	positive	0x1f404
⬇	positive	0x2b07
🚼	positive	0x1f6bc
🌗	positive	0x1f317
🌖	positive	0x1f316
🔅	positive	0x1f505
👜	positive	0x1f45c
🐌	positive	0x1f40c
💼	positive	0x1f4bc
🐹	positive	0x1f439
🌠	positive	0x1f320
⚫	positive	0x26ab
♧	positive	0x2667
🏰	positive	0x1f3f0
🚵	positive	0x1f6b5
🎢	positive	0x1f3a2
🎷	positive	0x1f3b7
┈	negative	0x2508
╗	positive	0x2557
🌇	positive	0x1f307
⏰	positive	0x23f0
◠	positive	0x25e0
🎿	positive	0x1f3bf
🆔	positive	0x1f194
🌒	positive	0x1f312
🐪	positive	0x1f42a
╝	positive	0x255d
👔	positive	0x1f454
🐋	positive	0x1f40b
▽	positive	0x25bd
🐛	positive	0x1f41b
👕	positive	0x1f455
💳	positive	0x1f4b3
🏧	positive	0x1f3e7
💡	positive	0x1f4a1
⬅	positive	0x2b05
🍠	negative	0x1f360
🐫	positive	0x1f42b
🇱	positive	0x1f1f1
📹	positive	0x1f4f9
👞	positive	0x1f45e
🆘	positive	0x1f198
👚	positive	0x1f45a
🚍	positive	0x1f68d
□	negative	0x25a1
🚣	positive	0x1f6a3
🏉	positive	0x1f3c9
🗻	positive	0x1f5fb
╦	positive	0x2566
⛺	positive	0x26fa
🏂	positive	0x1f3c2
👡	positive	0x1f461
📻	positive	0x1f4fb
🌰	positive	0x1f330
🎒	positive	0x1f392
⌒	positive	0x2312
🏫	negative	0x1f3eb
📴	positive	0x1f4f4
🚢	positive	0x1f6a2
🔔	positive	0x1f514
◢	positive	0x25e2
🏥	positive	0x1f3e5
🃏	positive	0x1f0cf
▌	negative	0x258c
☛	positive	0x261b
💒	positive	0x1f492
🚤	positive	0x1f6a4
🐐	positive	0x1f410
■	negative	0x25a0
🔚	positive	0x1f51a
🎻	positive	0x1f3bb
🔓	positive	0x1f513
🎽	positive	0x1f3bd
📅	positive	0x1f4c5
🎺	positive	0x1f3ba
🍈	negative	0x1f348
✉	positive	0x2709
◤	positive	0x25e4
○	positive	0x25cb
🍼	positive	0x1f37c
➰	negative	0x27b0
📣	positive	0x1f4e3
🐗	positive	0x1f417
⛳	positive	0x26f3
┻	negative	0x253b
┛	positive	0x251b
┃	positive	0x2503
⏳	negative	0x23f3
💺	positive	0x1f4ba
🏇	negative	0x1f3c7
☻	positive	0x263b
📞	positive	0x1f4de
🌉	positive	0x1f309
🚩	negative	0x1f6a9
✎	positive	0x270e
📃	positive	0x1f4c3
📌	negative	0x1f4cc
💷	positive	0x1f4b7
🚄	positive	0x1f684
▲	positive	0x25b2
⛵	positive	0x26f5
⌛	positive	0x231b
🚜	positive	0x1f69c
🐆	positive	0x1f406
👒	positive	0x1f452
❕	positive	0x2755
🔛	positive	0x1f51b
♢	positive	0x2662
🇲	positive	0x1f1f2
❅	positive	0x2745
👝	positive	0x1f45d
✞	positive	0x271e
🎋	positive	0x1f38b
👥	positive	0x1f465
◆	positive	0x25c6
🔭	positive	0x1f52d
🐜	positive	0x1f41c
♌	positive	0x264c
☐	negative	0x2610
👷	positive	0x1f477
📄	positive	0x1f4c4
🚐	positive	0x1f690
🌋	positive	0x1f30b
📡	positive	0x1f4e1
🚳	positive	0x1f6b3
✘	positive	0x2718
🅰	positive	0x1f170
🇼	positive	0x1f1fc
┓	positive	0x2513
┣	positive	0x2523
Ⓛ	positive	0x24c1
Ⓔ	positive	0x24ba
👤	positive	0x1f464
🎠	positive	0x1f3a0
☮	negative	0x262e
👢	positive	0x1f462
📰	positive	0x1f4f0
Ⓜ	positive	0x24c2
🔧	negative	0x1f527
