term	valence
below	negative
challenge	negative
challenged	negative
challenges	negative
challenging	negative
decline	negative
declined	negative
declines	negative
declining	negative
decrease	negative
decreased	negative
decreases	negative
decreasing	negative
depressed	negative
deteriorate	negative
deteriorated	negative
deteriorates	negative
deteriorating	negative
difficult	negative
difficulty	negative
disappoint	negative
disappointed	negative
disappointing	negative
disappointment	negative
disappoints	negative
down	negative
downturn	negative
drop	negative
dropped	negative
dropping	negative
drops	negative
fail	negative
failing	negative
fails	negative
failure	negative
fall	negative
fallen	negative
falling	negative
falls	negative
fell	negative
hurdle	negative
hurdles	negative
least	negative
less	negative
low	negative
lower	negative
lowest	negative
negative	negative
negatives	negative
obstacle	negative
obstacles	negative
penalties	negative
penalty	negative
risk	negative
risks	negative
risky	negative
shrink	negative
shrinking	negative
shrinks	negative
shrunk	negative
slump	negative
slumped	negative
slumping	negative
slumps	negative
smaller	negative
smallest	negative
threat	negative
threats	negative
uncertain	negative
uncertainty	negative
under	negative
unfavorable	negative
unsettled	negative
weak	negative
weaken	negative
weakened	negative
weakening	negative
weakens	negative
weakness	negative
weaknesses	negative
worse	negative
worsen	negative
worsening	negative
worsens	negative
worst	negative
above	positive
accomplish	positive
accomplished	positive
accomplishes	positive
accomplishing	positive
accomplishment	positive
accomplishments	positive
achieve	positive
achieved	positive
achievement	positive
achievements	positive
achieves	positive
achieving	positive
beat	positive
beating	positive
beats	positive
best	positive
better	positive
certain	positive
certainty	positive
definite	positive
deliver	positive
delivered	positive
delivering	positive
delivers	positive
encouraged	positive
enjoy	positive
enjoyed	positive
enjoying	positive
enjoys	positive
exceed	positive
exceeded	positive
exceeding	positive
exceeds	positive
excellent	positive
expand	positive
expanded	positive
expanding	positive
expands	positive
expansion	positive
good	positive
greater	positive
greatest	positive
grew	positive
grow	positive
growing	positive
grown	positive
grows	positive
growth	positive
high	positive
higher	positive
highest	positive
improve	positive
improved	positive
improvement	positive
improvements	positive
improves	positive
improving	positive
increase	positive
increased	positive
increases	positive
increasing	positive
larger	positive
largest	positive
leader	positive
leading	positive
leading	positive
more	positive
most	positive
ncouraging	positive
opportunities	positive
opportunity	positive
pleased	positive
positive	positive
positives	positive
progress	positive
progressing	positive
record	positive
reward	positive
rewarded	positive
rewarding	positive
rewards	positive
rise	positive
risen	positive
rises	positive
rising	positive
rose	positive
solid	positive
strength	positive
strengthen	positive
strengthened	positive
strengthening	positive
strengthens	positive
strengths	positive
strong	positive
stronger	positive
strongest	positive
succeed	positive
succeeded	positive
succeeding	positive
succeeds	positive
success	positive
successes	positive
successful	positive
up	positive
