term	valence	subjectivity
abase	negative	strongsubj
abasement	negative	strongsubj
abash	negative	strongsubj
aberration	negative	strongsubj
abhor	negative	strongsubj
abhorred	negative	strongsubj
abhorrence	negative	strongsubj
abhorrent	negative	strongsubj
abhorrently	negative	strongsubj
abhors	negative	strongsubj
abidance	positive	strongsubj
abide	positive	strongsubj
abject	negative	strongsubj
abjectly	negative	strongsubj
abominable	negative	strongsubj
abominably	negative	strongsubj
abominate	negative	strongsubj
abomination	negative	strongsubj
abrasive	negative	strongsubj
abscond	negative	strongsubj
absent-minded	negative	strongsubj
absolve	positive	strongsubj
absolute	neutral	strongsubj
absolutely	neutral	strongsubj
absurd	negative	strongsubj
absurdity	negative	strongsubj
absurdly	negative	strongsubj
absurdness	negative	strongsubj
abuse	negative	strongsubj
abusive	negative	strongsubj
abysmal	negative	strongsubj
abysmally	negative	strongsubj
abyss	negative	strongsubj
accede	positive	strongsubj
accentuate	neutral	strongsubj
acclaim	positive	strongsubj
acclaimed	positive	strongsubj
acclamation	positive	strongsubj
accolade	positive	strongsubj
accolades	positive	strongsubj
accursed	negative	strongsubj
accusation	negative	strongsubj
accusations	negative	strongsubj
accuse	negative	strongsubj
accuses	negative	strongsubj
accusing	negative	strongsubj
accusingly	negative	strongsubj
acerbate	negative	strongsubj
acerbic	negative	strongsubj
acerbically	negative	strongsubj
ache	negative	strongsubj
acrid	negative	strongsubj
acridly	negative	strongsubj
acridness	negative	strongsubj
acrimonious	negative	strongsubj
acrimoniously	negative	strongsubj
acrimony	negative	strongsubj
activist	neutral	strongsubj
actual	neutral	strongsubj
actuality	neutral	strongsubj
actually	neutral	strongsubj
acumen	positive	strongsubj
adamant	negative	strongsubj
adamantly	negative	strongsubj
admirable	positive	strongsubj
admirer	positive	strongsubj
admirably	positive	strongsubj
admiration	positive	strongsubj
admire	positive	strongsubj
admiring	positive	strongsubj
admiringly	positive	strongsubj
admit	positive	strongsubj
admittedly	positive	strongsubj
admonish	negative	strongsubj
admonisher	negative	strongsubj
admonishingly	negative	strongsubj
admonishment	negative	strongsubj
admonition	negative	strongsubj
adolescents	neutral	strongsubj
adorable	positive	strongsubj
adore	positive	strongsubj
adored	positive	strongsubj
adorer	positive	strongsubj
adoring	positive	strongsubj
adoringly	positive	strongsubj
adroit	positive	strongsubj
adroitly	positive	strongsubj
adulate	positive	strongsubj
adulation	positive	strongsubj
adulatory	positive	strongsubj
adulterate	negative	strongsubj
adulterated	negative	strongsubj
adulteration	negative	strongsubj
advantageous	positive	strongsubj
adventuresome	positive	strongsubj
adventurism	positive	strongsubj
adversity	negative	strongsubj
advocate	positive	strongsubj
advocacy	positive	strongsubj
affable	positive	strongsubj
affected	neutral	strongsubj
affection	positive	strongsubj
affectionate	positive	strongsubj
affirm	positive	strongsubj
affirmation	positive	strongsubj
afflictive	negative	strongsubj
affront	negative	strongsubj
afraid	negative	strongsubj
aggravate	negative	strongsubj
aggravating	negative	strongsubj
aggravation	negative	strongsubj
aggression	negative	strongsubj
aggressive	negative	strongsubj
aggressiveness	negative	strongsubj
aggressor	negative	strongsubj
aggrieve	negative	strongsubj
aggrieved	negative	strongsubj
aghast	negative	strongsubj
agitate	negative	strongsubj
agitated	negative	strongsubj
agitation	negative	strongsubj
agitator	negative	strongsubj
agonies	negative	strongsubj
agonize	negative	strongsubj
agonizing	negative	strongsubj
agonizingly	negative	strongsubj
agony	negative	strongsubj
agree	positive	strongsubj
agreeability	positive	strongsubj
agreeable	positive	strongsubj
agreeableness	positive	strongsubj
agreeably	positive	strongsubj
aha	neutral	strongsubj
aimless	negative	strongsubj
air	neutral	strongsubj
alarmed	negative	strongsubj
alarming	negative	strongsubj
alarmingly	negative	strongsubj
alas	negative	strongsubj
allay	positive	strongsubj
allegation	negative	strongsubj
allegations	negative	strongsubj
allegorize	neutral	strongsubj
alliance	neutral	strongsubj
alliances	neutral	strongsubj
allure	positive	strongsubj
alluring	positive	strongsubj
alluringly	positive	strongsubj
allusion	neutral	strongsubj
allusions	neutral	strongsubj
ally	positive	strongsubj
almighty	positive	strongsubj
aloof	negative	strongsubj
altogether	neutral	strongsubj
altruist	positive	strongsubj
altruistic	positive	strongsubj
altruistically	positive	strongsubj
amaze	positive	strongsubj
amazed	positive	strongsubj
amazement	positive	strongsubj
amazing	positive	strongsubj
amazingly	positive	strongsubj
ambiguous	negative	strongsubj
ambiguity	negative	strongsubj
ambivalence	negative	strongsubj
ambivalent	negative	strongsubj
ameliorate	positive	strongsubj
amenable	positive	strongsubj
amiability	positive	strongsubj
amiabily	positive	strongsubj
amiable	positive	strongsubj
amicability	positive	strongsubj
amicable	positive	strongsubj
amicably	positive	strongsubj
amiss	negative	strongsubj
amour	positive	strongsubj
amuse	positive	strongsubj
amusement	positive	strongsubj
amusing	positive	strongsubj
amusingly	positive	strongsubj
anarchism	negative	strongsubj
anarchist	negative	strongsubj
anarchistic	negative	strongsubj
anarchy	negative	strongsubj
angelic	positive	strongsubj
anger	negative	strongsubj
angrily	negative	strongsubj
angriness	negative	strongsubj
angry	negative	strongsubj
anguish	negative	strongsubj
annihilate	negative	strongsubj
annihilation	negative	strongsubj
animosity	negative	strongsubj
annoy	negative	strongsubj
annoyance	negative	strongsubj
annoyed	negative	strongsubj
annoying	negative	strongsubj
annoyingly	negative	strongsubj
antagonism	negative	strongsubj
antagonistic	negative	strongsubj
antagonize	negative	strongsubj
anti-	negative	strongsubj
anti-American	negative	strongsubj
anti-Israeli	negative	strongsubj
anti-Semites	negative	strongsubj
anti-US	negative	strongsubj
anti-occupation	negative	strongsubj
anti-proliferation	negative	strongsubj
anti-social	negative	strongsubj
anti-white	negative	strongsubj
antipathy	negative	strongsubj
antiquated	negative	strongsubj
antithetical	negative	strongsubj
anxieties	negative	strongsubj
anxiety	negative	strongsubj
anxious	negative	strongsubj
anxiously	negative	strongsubj
anxiousness	negative	strongsubj
anyhow	neutral	strongsubj
anyway	neutral	strongsubj
anyways	neutral	strongsubj
apathetic	negative	strongsubj
apathetically	negative	strongsubj
apathy	negative	strongsubj
ape	negative	strongsubj
apocalypse	negative	strongsubj
apocalyptic	negative	strongsubj
apologist	negative	strongsubj
apologists	negative	strongsubj
apostle	positive	strongsubj
apotheosis	positive	strongsubj
appal	negative	strongsubj
appall	negative	strongsubj
appalled	negative	strongsubj
appalling	negative	strongsubj
appallingly	negative	strongsubj
appealing	positive	strongsubj
applaud	positive	strongsubj
appreciate	positive	strongsubj
appreciation	positive	strongsubj
appreciative	positive	strongsubj
appreciatively	positive	strongsubj
appreciativeness	positive	strongsubj
apprehension	negative	strongsubj
apprehensions	negative	strongsubj
apprehensive	negative	strongsubj
apprehensively	negative	strongsubj
arbitrary	negative	strongsubj
arcane	negative	strongsubj
archaic	negative	strongsubj
ardent	positive	strongsubj
ardently	positive	strongsubj
ardor	positive	strongsubj
arduous	negative	strongsubj
arduously	negative	strongsubj
argue	negative	strongsubj
argumentative	negative	strongsubj
arousal	positive	strongsubj
arouse	positive	strongsubj
arousing	positive	strongsubj
arresting	positive	strongsubj
arrogance	negative	strongsubj
arrogant	negative	strongsubj
arrogantly	negative	strongsubj
articulate	positive	strongsubj
ascendant	positive	strongsubj
ascertainable	positive	strongsubj
ashamed	negative	strongsubj
asinine	negative	strongsubj
asininely	negative	strongsubj
asinininity	negative	strongsubj
askance	negative	strongsubj
asperse	negative	strongsubj
aspersion	negative	strongsubj
aspersions	negative	strongsubj
aspiration	positive	strongsubj
aspirations	positive	strongsubj
aspire	positive	strongsubj
assassin	negative	strongsubj
assent	positive	strongsubj
assertions	positive	strongsubj
assess	neutral	strongsubj
assiduous	positive	strongsubj
assiduously	positive	strongsubj
assure	positive	strongsubj
assuredly	positive	strongsubj
astonish	positive	strongsubj
astonished	positive	strongsubj
astonishing	positive	strongsubj
astonishingly	positive	strongsubj
astonishment	positive	strongsubj
astound	positive	strongsubj
astounded	positive	strongsubj
astounding	positive	strongsubj
astoundingly	positive	strongsubj
astronomic	neutral	strongsubj
astronomical	neutral	strongsubj
astronomically	neutral	strongsubj
astute	positive	strongsubj
astutely	positive	strongsubj
asunder	negative	strongsubj
atrocious	negative	strongsubj
atrocities	negative	strongsubj
atrocity	negative	strongsubj
atrophy	negative	strongsubj
attentive	positive	strongsubj
attest	positive	strongsubj
attitude	neutral	strongsubj
attraction	positive	strongsubj
attractive	positive	strongsubj
attractively	positive	strongsubj
audacious	negative	strongsubj
audaciously	negative	strongsubj
audaciousness	negative	strongsubj
audacity	negative	strongsubj
auspicious	positive	strongsubj
austere	negative	strongsubj
autocrat	negative	strongsubj
autocratic	negative	strongsubj
awareness	neutral	strongsubj
aware	neutral	strongsubj
avalanche	negative	strongsubj
avarice	negative	strongsubj
avaricious	negative	strongsubj
avariciously	negative	strongsubj
avenge	negative	strongsubj
aver	positive	strongsubj
averse	negative	strongsubj
aversion	negative	strongsubj
avid	positive	strongsubj
avidly	positive	strongsubj
awe	positive	strongsubj
awed	positive	strongsubj
awesome	positive	strongsubj
awesomely	positive	strongsubj
awesomeness	positive	strongsubj
awestruck	positive	strongsubj
awful	negative	strongsubj
awfully	negative	strongsubj
awfulness	negative	strongsubj
awkward	negative	strongsubj
awkwardness	negative	strongsubj
ax	negative	strongsubj
babble	negative	strongsubj
baby	neutral	strongsubj
backbite	negative	strongsubj
backbiting	negative	strongsubj
backward	negative	strongsubj
backwardness	negative	strongsubj
bad	negative	strongsubj
badly	negative	strongsubj
baffle	negative	strongsubj
baffled	negative	strongsubj
bafflement	negative	strongsubj
baffling	negative	strongsubj
bait	negative	strongsubj
balk	negative	strongsubj
banal	negative	strongsubj
banalize	negative	strongsubj
bane	negative	strongsubj
banish	negative	strongsubj
banishment	negative	strongsubj
barbarian	negative	strongsubj
barbaric	negative	strongsubj
barbarically	negative	strongsubj
barbarity	negative	strongsubj
barbarous	negative	strongsubj
barbarously	negative	strongsubj
bargain	positive	strongsubj
barren	negative	strongsubj
baseless	negative	strongsubj
bashful	negative	strongsubj
bastard	negative	strongsubj
battle-lines	negative	strongsubj
battleground	negative	strongsubj
batty	negative	strongsubj
beast	negative	strongsubj
beastly	negative	strongsubj
beatify	positive	strongsubj
beauteous	positive	strongsubj
beautiful	positive	strongsubj
beautifully	positive	strongsubj
beautify	positive	strongsubj
beauty	positive	strongsubj
bedlam	negative	strongsubj
bedlamite	negative	strongsubj
befit	positive	strongsubj
befitting	positive	strongsubj
befoul	negative	strongsubj
befriend	positive	strongsubj
beg	negative	strongsubj
beggarly	negative	strongsubj
begging	negative	strongsubj
beguile	negative	strongsubj
belabor	negative	strongsubj
beleaguer	negative	strongsubj
