term	valence	score	raw-score
pedophile	negative	-0.935	1.26
rapist	negative	-0.925	1.3
AIDS	negative	-0.9175	1.33
torture	negative	-0.9	1.4
leukemia	negative	-0.8825	1.47
molester	negative	-0.88	1.48
murder	negative	-0.88	1.48
racism	negative	-0.88	1.48
chemo	negative	-0.875	1.5
homicide	negative	-0.875	1.5
abuse	negative	-0.8675	1.53
asphyxiation	negative	-0.8675	1.53
HIV	negative	-0.8675	1.53
rape	negative	-0.865	1.54
herpes	negative	-0.8575	1.57
drunk driving	negative	-0.855	1.58
suicide	negative	-0.855	1.58
terrorism	negative	-0.85	1.6
motherfucker	negative	-0.8475	1.61
genocide	negative	-0.845	1.62
wreck	negative	-0.845	1.62
guillotine	negative	-0.8425	1.63
gonorrhea	negative	-0.8375	1.65
die	negative	-0.8325	1.67
lynching	negative	-0.8325	1.67
nigger	negative	-0.8325	1.67
disease	negative	-0.83	1.68
nausea	negative	-0.83	1.68
disaster	negative	-0.8225	1.71
mourning	negative	-0.8225	1.71
virus	negative	-0.8225	1.71
starvation	negative	-0.82	1.72
killer	negative	-0.815	1.74
foreclosure	negative	-0.8125	1.75
kidnapper	negative	-0.8075	1.77
massacre	negative	-0.8075	1.77
deathbed	negative	-0.8025	1.79
morgue	negative	-0.8025	1.79
nightmare	negative	-0.8025	1.79
stress	negative	-0.8025	1.79
unsanitary	negative	-0.8025	1.79
kill	negative	-0.7975	1.81
assassination	negative	-0.7925	1.83
amputation	negative	-0.79	1.84
hijack	negative	-0.79	1.84
puke	negative	-0.79	1.84
unhappy	negative	-0.79	1.84
hijacker	negative	-0.7875	1.85
appendicitis	negative	-0.785	1.86
cirrhosis	negative	-0.785	1.86
pollute	negative	-0.78	1.88
coma	negative	-0.7775	1.89
death	negative	-0.7775	1.89
insulting	negative	-0.7775	1.89
menopause	negative	-0.7775	1.89
molest	negative	-0.7775	1.89
seasick	negative	-0.7775	1.89
unhappiness	negative	-0.7775	1.89
worthless	negative	-0.7775	1.89
cancer	negative	-0.775	1.9
deadly	negative	-0.775	1.9
hateful	negative	-0.775	1.9
incurable	negative	-0.775	1.9
motherless	negative	-0.775	1.9
mugger	negative	-0.775	1.9
overworked	negative	-0.775	1.9
parasite	negative	-0.775	1.9
vandalism	negative	-0.775	1.9
harm	negative	-0.7725	1.91
jail	negative	-0.7725	1.91
murderer	negative	-0.77	1.92
prison	negative	-0.765	1.94
satanic	negative	-0.765	1.94
bury	negative	-0.7625	1.95
crime	negative	-0.7625	1.95
deathly	negative	-0.7625	1.95
debt	negative	-0.7625	1.95
flunk	negative	-0.7625	1.95
heartbroken	negative	-0.7625	1.95
illness	negative	-0.7625	1.95
killing	negative	-0.7625	1.95
moldy	negative	-0.7625	1.95
nauseous	negative	-0.7625	1.95
parasitic	negative	-0.7625	1.95
repulsive	negative	-0.7625	1.95
STD	negative	-0.7625	1.95
hate	negative	-0.76	1.96
vomit	negative	-0.755	1.98
alcoholism	negative	-0.75	2
attack	negative	-0.75	2
breaking and entering	negative	-0.75	2
comatose	negative	-0.75	2
excrement	negative	-0.75	2
fatal	negative	-0.75	2
foreclose	negative	-0.75	2
homicidal	negative	-0.75	2
infection	negative	-0.75	2
maggot	negative	-0.75	2
mistrust	negative	-0.75	2
mutilate	negative	-0.75	2
pain	negative	-0.75	2
pollution	negative	-0.75	2
poverty	negative	-0.75	2
sabotage	negative	-0.75	2
slavery	negative	-0.75	2
dead	negative	-0.745	2.02
smallpox	negative	-0.745	2.02
rude	negative	-0.74	2.04
abduction	negative	-0.7375	2.05
abusive	negative	-0.7375	2.05
assault	negative	-0.7375	2.05
blackmailer	negative	-0.7375	2.05
bloodbath	negative	-0.7375	2.05
catastrophic	negative	-0.7375	2.05
crisis	negative	-0.7375	2.05
dishonesty	negative	-0.7375	2.05
epidemic	negative	-0.7375	2.05
fag	negative	-0.7375	2.05
fraud	negative	-0.7375	2.05
incarceration	negative	-0.7375	2.05
kidnapping	negative	-0.7375	2.05
manslaughter	negative	-0.7375	2.05
murderous	negative	-0.7375	2.05
negligent	negative	-0.7375	2.05
penitentiary	negative	-0.7375	2.05
racist	negative	-0.7375	2.05
suffer	negative	-0.7375	2.05
tumor	negative	-0.7375	2.05
victim	negative	-0.7375	2.05
slave	negative	-0.735	2.06
funeral	negative	-0.7325	2.07
devastating	negative	-0.7275	2.09
heart disease	negative	-0.7275	2.09
parkinsons	negative	-0.7275	2.09
amputate	negative	-0.725	2.1
bombing	negative	-0.725	2.1
diarrhea	negative	-0.725	2.1
excruciating	negative	-0.725	2.1
frostbite	negative	-0.725	2.1
greedy	negative	-0.725	2.1
hellhole	negative	-0.725	2.1
infidelity	negative	-0.725	2.1
rob	negative	-0.725	2.1
sad	negative	-0.725	2.1
terrible	negative	-0.725	2.1
unbearable	negative	-0.725	2.1
worry	negative	-0.725	2.1
assassin	negative	-0.7225	2.11
asshole	negative	-0.7225	2.11
criminal	negative	-0.7225	2.11
destitute	negative	-0.7225	2.11
dreaded	negative	-0.7225	2.11
gunpoint	negative	-0.7225	2.11
pimple	negative	-0.7225	2.11
sadist	negative	-0.7225	2.11
tragedy	negative	-0.7225	2.11
scum	negative	-0.72	2.12
embolism	negative	-0.715	2.14
extortion	negative	-0.7125	2.15
failure	negative	-0.7125	2.15
suicidal	negative	-0.7125	2.15
destroyer	negative	-0.71	2.16
humiliating	negative	-0.71	2.16
incest	negative	-0.71	2.16
neglect	negative	-0.71	2.16
poison	negative	-0.71	2.16
stomachache	negative	-0.71	2.16
vengeful	negative	-0.71	2.16
bubonic	negative	-0.7075	2.17
rabies	negative	-0.7075	2.17
steal	negative	-0.7075	2.17
syphilis	negative	-0.7075	2.17
acne	negative	-0.705	2.18
sue	negative	-0.705	2.18
traffic	negative	-0.705	2.18
asphyxia	negative	-0.7025	2.19
breakup	negative	-0.7025	2.19
castrate	negative	-0.7025	2.19
kidnap	negative	-0.7025	2.19
roach	negative	-0.7025	2.19
tapeworm	negative	-0.7025	2.19
unethical	negative	-0.7025	2.19
cellmate	negative	-0.7	2.2
felon	negative	-0.7	2.2
hopeless	negative	-0.7	2.2
horrific	negative	-0.7	2.2
misery	negative	-0.7	2.2
bankrupt	negative	-0.6975	2.21
disastrous	negative	-0.6975	2.21
homeless	negative	-0.6975	2.21
interrogation	negative	-0.6975	2.21
mortuary	negative	-0.6975	2.21
vile	negative	-0.6975	2.21
enemy	negative	-0.695	2.22
headache	negative	-0.695	2.22
perish	negative	-0.695	2.22
traumatic	negative	-0.695	2.22
attacker	negative	-0.6925	2.23
executioner	negative	-0.6925	2.23
feces	negative	-0.6925	2.23
invader	negative	-0.6925	2.23
war	negative	-0.6925	2.23
asbestos	negative	-0.69	2.24
betrayal	negative	-0.69	2.24
bigotry	negative	-0.69	2.24
diseased	negative	-0.69	2.24
helpless	negative	-0.69	2.24
insecurity	negative	-0.69	2.24
lice	negative	-0.69	2.24
lifeless	negative	-0.69	2.24
afraid	negative	-0.6875	2.25
castration	negative	-0.6875	2.25
chemotherapy	negative	-0.6875	2.25
leprosy	negative	-0.6875	2.25
