term	valence	score	score-socal	POS
mega-success	positive	1	5	ajdective
priceless	positive	1	5	ajdective
exquisite	positive	1	5	ajdective
fascinating	positive	1	5	ajdective
phenomenal	positive	1	5	ajdective
top-notch	positive	1	5	ajdective
top-quality	positive	1	5	ajdective
top-rate	positive	1	5	ajdective
adorable	positive	1	5	ajdective
all-star	positive	1	5	ajdective
amazing	positive	1	5	ajdective
angelic	positive	1	5	ajdective
award-winning	positive	1	5	ajdective
awesome	positive	1	5	ajdective
best	positive	1	5	ajdective
best-drawn	positive	1	5	ajdective
best-handling	positive	1	5	ajdective
bestselling	positive	1	5	ajdective
breathtaking	positive	1	5	ajdective
breath-taking	positive	1	5	ajdective
brilliant	positive	1	5	ajdective
dazzling	positive	1	5	ajdective
decadent	positive	1	5	ajdective
delicious	positive	1	5	ajdective
delightful	positive	1	5	ajdective
deluxe	positive	1	5	ajdective
divine	positive	1	5	ajdective
dreamlike	positive	1	5	ajdective
dreamy	positive	1	5	ajdective
ecstatic	positive	1	5	ajdective
excellent	positive	1	5	ajdective
exceptional	positive	1	5	ajdective
exciting	positive	1	5	ajdective
exclusive	positive	1	5	ajdective
extraordinary	positive	1	5	ajdective
fabulous	positive	1	5	ajdective
fantastic	positive	1	5	ajdective
feature-packed	positive	1	5	ajdective
five-diamond	positive	1	5	ajdective
five-star	positive	1	5	ajdective
flawless	positive	1	5	ajdective
full-service	positive	1	5	ajdective
glorious	positive	1	5	ajdective
gorgeous	positive	1	5	ajdective
heavenly	positive	1	5	ajdective
immaculate	positive	1	5	ajdective
impeccable	positive	1	5	ajdective
incredible	positive	1	5	ajdective
lake-view	positive	1	5	ajdective
magnificent	positive	1	5	ajdective
marvellous	positive	1	5	ajdective
marvelous	positive	1	5	ajdective
mouth-watering	positive	1	5	ajdective
orgasmic	positive	1	5	ajdective
oscar-worthy	positive	1	5	ajdective
outstanding	positive	1	5	ajdective
panoramic	positive	1	5	ajdective
perfect	positive	1	5	ajdective
piano-blessed	positive	1	5	ajdective
prestigious	positive	1	5	ajdective
rapturous	positive	1	5	ajdective
scrumptious	positive	1	5	ajdective
sensational	positive	1	5	ajdective
spectacular	positive	1	5	ajdective
super-luxury	positive	1	5	ajdective
terrific	positive	1	5	ajdective
unmatched	positive	1	5	ajdective
wonderful	positive	1	5	ajdective
wondrous	positive	1	5	ajdective
awestruck	positive	1	5	ajdective
wonderous	positive	1	5	ajdective
sublime	positive	1	5	ajdective
stupendous	positive	1	5	ajdective
peerless	positive	1	5	ajdective
euphoric	positive	1	5	ajdective
valiant	positive	0.8	4	ajdective
compelling	positive	0.8	4	ajdective
grand	positive	0.8	4	ajdective
great	positive	0.8	4	ajdective
hit-making	positive	0.8	4	ajdective
legendary	positive	0.8	4	ajdective
much-admired	positive	0.8	4	ajdective
poignant	positive	0.8	4	ajdective
pristine	positive	0.8	4	ajdective
absorbing	positive	0.8	4	ajdective
admirable	positive	0.8	4	ajdective
all-you-can-eat	positive	0.8	4	ajdective
altruistic	positive	0.8	4	ajdective
beautiful	positive	0.8	4	ajdective
beloved	positive	0.8	4	ajdective
benevolent	positive	0.8	4	ajdective
better-feeling	positive	0.8	4	ajdective
better-like	positive	0.8	4	ajdective
better-than-before	positive	0.8	4	ajdective
brand-new	positive	0.8	4	ajdective
brand-spankin	positive	0.8	4	ajdective
brand-spankin'-new	positive	0.8	4	ajdective
charming	positive	0.8	4	ajdective
consummate	positive	0.8	4	ajdective
cool-looking	positive	0.8	4	ajdective
darker-and-funnier-than-expected	positive	0.8	4	ajdective
desirable	positive	0.8	4	ajdective
elegant	positive	0.8	4	ajdective
enchanting	positive	0.8	4	ajdective
endearing	positive	0.8	4	ajdective
engaging	positive	0.8	4	ajdective
engrossing	positive	0.8	4	ajdective
enjoyable	positive	0.8	4	ajdective
enlightened	positive	0.8	4	ajdective
enthralling	positive	0.8	4	ajdective
enthusiastic	positive	0.8	4	ajdective
enviable	positive	0.8	4	ajdective
exotic	positive	0.8	4	ajdective
exuberant	positive	0.8	4	ajdective
fast-cooking	positive	0.8	4	ajdective
favorite	positive	0.8	4	ajdective
finest	positive	0.8	4	ajdective
fine-dining	positive	0.8	4	ajdective
first-class	positive	0.8	4	ajdective
first-rate	positive	0.8	4	ajdective
fortunate	positive	0.8	4	ajdective
friendly	positive	0.8	4	ajdective
fun-filled	positive	0.8	4	ajdective
fun-to-drive	positive	0.8	4	ajdective
handsome	positive	0.8	4	ajdective
happy	positive	0.8	4	ajdective
hilarious	positive	0.8	4	ajdective
holy	positive	0.8	4	ajdective
ideal	positive	0.8	4	ajdective
idyllic	positive	0.8	4	ajdective
impressive	positive	0.8	4	ajdective
in-demand	positive	0.8	4	ajdective
ingenious	positive	0.8	4	ajdective
innovative	positive	0.8	4	ajdective
intelligent	positive	0.8	4	ajdective
international-gourmet	positive	0.8	4	ajdective
jam-packed	positive	0.8	4	ajdective
jaw-dropping	positive	0.8	4	ajdective
joyous	positive	0.8	4	ajdective
jubilant	positive	0.8	4	ajdective
king-size	positive	0.8	4	ajdective
king-sized	positive	0.8	4	ajdective
lavish	positive	0.8	4	ajdective
lovable	positive	0.8	4	ajdective
lucious	positive	0.8	4	ajdective
luminous	positive	0.8	4	ajdective
luscious	positive	0.8	4	ajdective
luxurious	positive	0.8	4	ajdective
magical	positive	0.8	4	ajdective
masterful	positive	0.8	4	ajdective
mesmerizing	positive	0.8	4	ajdective
miraculous	positive	0.8	4	ajdective
must-have	positive	0.8	4	ajdective
near-perfect	positive	0.8	4	ajdective
optimum	positive	0.8	4	ajdective
oscar-winning	positive	0.8	4	ajdective
pampered	positive	0.8	4	ajdective
peaceful	positive	0.8	4	ajdective
pleasant	positive	0.8	4	ajdective
pleasing	positive	0.8	4	ajdective
portable	positive	0.8	4	ajdective
profound	positive	0.8	4	ajdective
radiant	positive	0.8	4	ajdective
rechargeable	positive	0.8	4	ajdective
refined	positive	0.8	4	ajdective
refreshing	positive	0.8	4	ajdective
regal	positive	0.8	4	ajdective
remarkable	positive	0.8	4	ajdective
removable	positive	0.8	4	ajdective
ritz-carlton	positive	0.8	4	ajdective
scenic	positive	0.8	4	ajdective
sexy	positive	0.8	4	ajdective
spacious	positive	0.8	4	ajdective
splendid	positive	0.8	4	ajdective
spotless	positive	0.8	4	ajdective
stellar	positive	0.8	4	ajdective
streamlined	positive	0.8	4	ajdective
stream-lined	positive	0.8	4	ajdective
stunning	positive	0.8	4	ajdective
stylish	positive	0.8	4	ajdective
superb	positive	0.8	4	ajdective
superior	positive	0.8	4	ajdective
supreme	positive	0.8	4	ajdective
ultra-compact	positive	0.8	4	ajdective
unforgettable	positive	0.8	4	ajdective
up-and-coming	positive	0.8	4	ajdective
upbeat	positive	0.8	4	ajdective
upcoming	positive	0.8	4	ajdective
upgradable	positive	0.8	4	ajdective
upgradeable	positive	0.8	4	ajdective
well-acted	positive	0.8	4	ajdective
well-assembled	positive	0.8	4	ajdective
well-behaved	positive	0.8	4	ajdective
well-built	positive	0.8	4	ajdective
well-bundled	positive	0.8	4	ajdective
well-cropped	positive	0.8	4	ajdective
well-dampened	positive	0.8	4	ajdective
well-defined	positive	0.8	4	ajdective
well-developed	positive	0.8	4	ajdective
well-done	positive	0.8	4	ajdective
well-dressed	positive	0.8	4	ajdective
well-equipped	positive	0.8	4	ajdective
well-fitting	positive	0.8	4	ajdective
well-kept	positive	0.8	4	ajdective
well-made	positive	0.8	4	ajdective
well-muted	positive	0.8	4	ajdective
well-placed	positive	0.8	4	ajdective
well-produced	positive	0.8	4	ajdective
well-researched	positive	0.8	4	ajdective
well-trained	positive	0.8	4	ajdective
well-tuned	positive	0.8	4	ajdective
well-written	positive	0.8	4	ajdective
worthy	positive	0.8	4	ajdective
loveable	positive	0.8	4	ajdective
virtuoso	positive	0.8	4	ajdective
acclaimed	positive	0.8	4	ajdective
riveting	positive	0.8	4	ajdective
epic	positive	0.8	4	ajdective
vivacious	positive	0.8	4	ajdective
vibrant	positive	0.8	4	ajdective
resplendent	positive	0.8	4	ajdective
opulent	positive	0.8	4	ajdective
momentous	positive	0.8	4	ajdective
matchless	positive	0.8	4	ajdective
majestic	positive	0.8	4	ajdective
joyful	positive	0.8	4	ajdective
invulnerable	positive	0.8	4	ajdective
invaluable	positive	0.8	4	ajdective
inestimable	positive	0.8	4	ajdective
exemplary	positive	0.8	4	ajdective
eminent	positive	0.8	4	ajdective
elated	positive	0.8	4	ajdective
ebullient	positive	0.8	4	ajdective
delighted	positive	0.8	4	ajdective
blissful	positive	0.8	4	ajdective
beauteous	positive	0.8	4	ajdective
adored	positive	0.8	4	ajdective
pre-eminent	positive	0.8	4	ajdective
preeminent	positive	0.8	4	ajdective
ass-kicking	positive	0.6	3	ajdective
genre-breaking	positive	0.6	3	ajdective
intense	positive	0.6	3	ajdective
lotus-like	positive	0.6	3	ajdective
meaningful	positive	0.6	3	ajdective
organic	positive	0.6	3	ajdective
hysterical	positive	0.6	3	ajdective
inventive	positive	0.6	3	ajdective
lasting	positive	0.6	3	ajdective
lyrical	positive	0.6	3	ajdective
masterly	positive	0.6	3	ajdective
poetic	positive	0.6	3	ajdective
quintessential	positive	0.6	3	ajdective
recommendable	positive	0.6	3	ajdective
top-dollar	positive	0.6	3	ajdective
top-rack	positive	0.6	3	ajdective
abundant	positive	0.6	3	ajdective
accessible	positive	0.6	3	ajdective
action-packed	positive	0.6	3	ajdective
adventurous	positive	0.6	3	ajdective
affluent	positive	0.6	3	ajdective
all-out	positive	0.6	3	ajdective
all-too-rare	positive	0.6	3	ajdective
ample	positive	0.6	3	ajdective
amusing	positive	0.6	3	ajdective
appealing	positive	0.6	3	ajdective
appreciative	positive	0.6	3	ajdective
artistic	positive	0.6	3	ajdective
artful	positive	0.6	3	ajdective
astonishing	positive	0.6	3	ajdective
astute	positive	0.6	3	ajdective
available	positive	0.6	3	ajdective
bold	positive	0.6	3	ajdective
borderless	positive	0.6	3	ajdective
bright	positive	0.6	3	ajdective
buff	positive	0.6	3	ajdective
built-to-last	positive	0.6	3	ajdective
captivating	positive	0.6	3	ajdective
charismatic	positive	0.6	3	ajdective
cheerful	positive	0.6	3	ajdective
classic	positive	0.6	3	ajdective
classy	positive	0.6	3	ajdective
clear-cut	positive	0.6	3	ajdective
clever	positive	0.6	3	ajdective
commendable	positive	0.6	3	ajdective
comprehensive	positive	0.6	3	ajdective
considerate	positive	0.6	3	ajdective
convenient	positive	0.6	3	ajdective
cordless	positive	0.6	3	ajdective
correct	positive	0.6	3	ajdective
courteous	positive	0.6	3	ajdective
cozy	positive	0.6	3	ajdective
creative	positive	0.6	3	ajdective
cute	positive	0.6	3	ajdective
dandy	positive	0.6	3	ajdective
dear	positive	0.6	3	ajdective
deft	positive	0.6	3	ajdective
dependable	positive	0.6	3	ajdective
deserving	positive	0.6	3	ajdective
dope	positive	0.6	3	ajdective
durable	positive	0.6	3	ajdective
easy-to-carry	positive	0.6	3	ajdective
easy-to-read	positive	0.6	3	ajdective
easy-to-use	positive	0.6	3	ajdective
economic	positive	0.6	3	ajdective
economical	positive	0.6	3	ajdective
educational	positive	0.6	3	ajdective
effortless	positive	0.6	3	ajdective
energetic	positive	0.6	3	ajdective
energy-saving	positive	0.6	3	ajdective
enormous	positive	0.6	3	ajdective
ergonomic	positive	0.6	3	ajdective
ever-wonderful	positive	0.6	3	ajdective
expansive	positive	0.6	3	ajdective
extensive	positive	0.6	3	ajdective
famous	positive	0.6	3	ajdective
fanciful	positive	0.6	3	ajdective
favorable	positive	0.6	3	ajdective
fearless	positive	0.6	3	ajdective
feel-good	positive	0.6	3	ajdective
festive	positive	0.6	3	ajdective
flexible	positive	0.6	3	ajdective
flicker-free	positive	0.6	3	ajdective
free	positive	0.6	3	ajdective
freshly-squeezed	positive	0.6	3	ajdective
full-featured	positive	0.6	3	ajdective
fun	positive	0.6	3	ajdective
fun-loving	positive	0.6	3	ajdective
funny	positive	0.6	3	ajdective
good	positive	0.6	3	ajdective
graceful	positive	0.6	3	ajdective
gripping	positive	0.6	3	ajdective
healthy	positive	0.6	3	ajdective
heartfelt	positive	0.6	3	ajdective
heroic	positive	0.6	3	ajdective
high-end	positive	0.6	3	ajdective
high-performance	positive	0.6	3	ajdective
high-quality	positive	0.6	3	ajdective
high-resolution	positive	0.6	3	ajdective
hospitable	positive	0.6	3	ajdective
humorous	positive	0.6	3	ajdective
imaginable	positive	0.6	3	ajdective
imaginative	positive	0.6	3	ajdective
imaginitive	positive	0.6	3	ajdective
important	positive	0.6	3	ajdective
in-depth	positive	0.6	3	ajdective
inexpensive	positive	0.6	3	ajdective
in-room	positive	0.6	3	ajdective
insightful	positive	0.6	3	ajdective
instructional	positive	0.6	3	ajdective
intellectual	positive	0.6	3	ajdective
interesting	positive	0.6	3	ajdective
interference-free	positive	0.6	3	ajdective
intriguing	positive	0.6	3	ajdective
intuitive	positive	0.6	3	ajdective
in-tune	positive	0.6	3	ajdective
inviting	positive	0.6	3	ajdective
jolly	positive	0.6	3	ajdective
keyless	positive	0.6	3	ajdective
knowledgeable	positive	0.6	3	ajdective
leather-wrapped	positive	0.6	3	ajdective
letter-perfect	positive	0.6	3	ajdective
lifelike	positive	0.6	3	ajdective
lightning-fast	positive	0.6	3	ajdective
light-weight	positive	0.6	3	ajdective
lint-free	positive	0.6	3	ajdective
lively	positive	0.6	3	ajdective
liven-up	positive	0.6	3	ajdective
lush	positive	0.6	3	ajdective
master-chef	positive	0.6	3	ajdective
mega-star	positive	0.6	3	ajdective
memorable	positive	0.6	3	ajdective
multi-task	positive	0.6	3	ajdective
multi-tasking	positive	0.6	3	ajdective
multi-tasks	positive	0.6	3	ajdective
muscular	positive	0.6	3	ajdective
musical	positive	0.6	3	ajdective
near-cult	positive	0.6	3	ajdective
new-this-year	positive	0.6	3	ajdective
non-corrosive	positive	0.6	3	ajdective
non-proprietary	positive	0.6	3	ajdective
non-skid	positive	0.6	3	ajdective
non-slip	positive	0.6	3	ajdective
non-stick	positive	0.6	3	ajdective
non-sticks	positive	0.6	3	ajdective
non-traditional	positive	0.6	3	ajdective
no-questions-asked	positive	0.6	3	ajdective
one-of-a-kind	positive	0.6	3	ajdective
otherworldly	positive	0.6	3	ajdective
out-perform	positive	0.6	3	ajdective
padlockable	positive	0.6	3	ajdective
passionate	positive	0.6	3	ajdective
popular	positive	0.6	3	ajdective
positive	positive	0.6	3	ajdective
powerful	positive	0.6	3	ajdective
precious	positive	0.6	3	ajdective
problem-free	positive	0.6	3	ajdective
professional	positive	0.6	3	ajdective
professional-looking	positive	0.6	3	ajdective
prolific	positive	0.6	3	ajdective
queen-sized	positive	0.6	3	ajdective
quality	positive	0.6	3	ajdective
reclining	positive	0.6	3	ajdective
refillable	positive	0.6	3	ajdective
reputable	positive	0.6	3	ajdective
revolutionary	positive	0.6	3	ajdective
rewarding	positive	0.6	3	ajdective
rhythmic	positive	0.6	3	ajdective
rich	positive	0.6	3	ajdective
romantic	positive	0.6	3	ajdective
roomy	positive	0.6	3	ajdective
rugged	positive	0.6	3	ajdective
satisfying	positive	0.6	3	ajdective
savory	positive	0.6	3	ajdective
seamless	positive	0.6	3	ajdective
silky	positive	0.6	3	ajdective
sleek	positive	0.6	3	ajdective
slick	positive	0.6	3	ajdective
smooth-running	positive	0.6	3	ajdective
snazzy	positive	0.6	3	ajdective
sophisticated	positive	0.6	3	ajdective
special	positive	0.6	3	ajdective
specialized	positive	0.6	3	ajdective
speed-on-demand	positive	0.6	3	ajdective
stupid-funny	positive	0.6	3	ajdective
stylistic	positive	0.6	3	ajdective
successful	positive	0.6	3	ajdective
sumptuous	positive	0.6	3	ajdective
sunny	positive	0.6	3	ajdective
super	positive	0.6	3	ajdective
superdrive	positive	0.6	3	ajdective
sweet	positive	0.6	3	ajdective
symphonic	positive	0.6	3	ajdective
synchronized	positive	0.6	3	ajdective
teflon-coated	positive	0.6	3	ajdective
tender	positive	0.6	3	ajdective
thrilling	positive	0.6	3	ajdective
top-end	positive	0.6	3	ajdective
touch-screen	positive	0.6	3	ajdective
tremendous	positive	0.6	3	ajdective
triumphant	positive	0.6	3	ajdective
tubular	positive	0.6	3	ajdective
uncluttered	positive	0.6	3	ajdective
unique	positive	0.6	3	ajdective
unique-looking	positive	0.6	3	ajdective
universal	positive	0.6	3	ajdective
unparalleled	positive	0.6	3	ajdective
uplifting	positive	0.6	3	ajdective
up-lifting	positive	0.6	3	ajdective
valuable	positive	0.6	3	ajdective
value-packed	positive	0.6	3	ajdective
ventilated	positive	0.6	3	ajdective
versatile	positive	0.6	3	ajdective
vivid	positive	0.6	3	ajdective
welcome	positive	0.6	3	ajdective
wise	positive	0.6	3	ajdective
witty	positive	0.6	3	ajdective
worthwhile	positive	0.6	3	ajdective
zany	positive	0.6	3	ajdective
accurate	positive	0.6	3	ajdective
affordable	positive	0.6	3	ajdective
attractive	positive	0.6	3	ajdective
air-conditioned	positive	0.6	3	ajdective
dishwasher-safe	positive	0.6	3	ajdective
plug-and-play	positive	0.6	3	ajdective
user-friendly	positive	0.6	3	ajdective
adept	positive	0.6	3	ajdective
all-mighty	positive	0.6	3	ajdective
almighty	positive	0.6	3	ajdective
euphonious	positive	0.6	3	ajdective
laugh-out-loud	positive	0.6	3	ajdective
near-classic	positive	0.6	3	ajdective
patient	positive	0.6	3	ajdective
resounding	positive	0.6	3	ajdective
rockin	positive	0.6	3	ajdective
top-drawer	positive	0.6	3	ajdective
well-bred	positive	0.6	3	ajdective
adroit	positive	0.6	3	ajdective
gallant	positive	0.6	3	ajdective
astounding	positive	0.6	3	ajdective
inspirational	positive	0.6	3	ajdective
enamored	positive	0.6	3	ajdective
eloquent	positive	0.6	3	ajdective
virtuous	positive	0.6	3	ajdective
unassailable	positive	0.6	3	ajdective
tenacious	positive	0.6	3	ajdective
sage	positive	0.6	3	ajdective
sacred	positive	0.6	3	ajdective
rousing	positive	0.6	3	ajdective
renowned	positive	0.6	3	ajdective
penetrating	positive	0.6	3	ajdective
moving	positive	0.6	3	ajdective
luxuriant	positive	0.6	3	ajdective
lustrous	positive	0.6	3	ajdective
jovial	positive	0.6	3	ajdective
irresistible	positive	0.6	3	ajdective
irreproachable	positive	0.6	3	ajdective
infallible	positive	0.6	3	ajdective
illustrious	positive	0.6	3	ajdective
heartwarming	positive	0.6	3	ajdective
gutsy	positive	0.6	3	ajdective
groundbreaking	positive	0.6	3	ajdective
excited	positive	0.6	3	ajdective
distinguished	positive	0.6	3	ajdective
dazzled	positive	0.6	3	ajdective
dashing	positive	0.6	3	ajdective
compassionate	positive	0.6	3	ajdective
thriving	positive	0.6	3	ajdective
record-setting	positive	0.6	3	ajdective
leading	positive	0.6	3	ajdective
industrious	positive	0.6	3	ajdective
best-selling	positive	0.6	3	ajdective
upset	positive	0.6	3	ajdective
clean	positive	0.4	2	ajdective
capacious	positive	0.4	2	ajdective
cogent	positive	0.4	2	ajdective
confident	positive	0.4	2	ajdective
crisp	positive	0.4	2	ajdective
long-lasting	positive	0.4	2	ajdective
monumental	positive	0.4	2	ajdective
pretty	positive	0.4	2	ajdective
quaint	positive	0.4	2	ajdective
racy	positive	0.4	2	ajdective
restaurant-like	positive	0.4	2	ajdective
above-average	positive	0.4	2	ajdective
active	positive	0.4	2	ajdective
adaptable	positive	0.4	2	ajdective
addictive	positive	0.4	2	ajdective
adjustable	positive	0.4	2	ajdective
airy	positive	0.4	2	ajdective
all-new	positive	0.4	2	ajdective
already-nice	positive	0.4	2	ajdective
anticipated	positive	0.4	2	ajdective
anti-glare	positive	0.4	2	ajdective
anti-lock	positive	0.4	2	ajdective
apt	positive	0.4	2	ajdective
attentive	positive	0.4	2	ajdective
avid	positive	0.4	2	ajdective
bang-up	positive	0.4	2	ajdective
breathless	positive	0.4	2	ajdective
bubbly	positive	0.4	2	ajdective
budget-conscious	positive	0.4	2	ajdective
built-in	positive	0.4	2	ajdective
calm	positive	0.4	2	ajdective
capable	positive	0.4	2	ajdective
cherubic	positive	0.4	2	ajdective
chic	positive	0.4	2	ajdective
clear	positive	0.4	2	ajdective
clear-bodied	positive	0.4	2	ajdective
cliff-hanging	positive	0.4	2	ajdective
cognizant	positive	0.4	2	ajdective
coherent	positive	0.4	2	ajdective
colorful	positive	0.4	2	ajdective
comfortable	positive	0.4	2	ajdective
competent	positive	0.4	2	ajdective
complimentary	positive	0.4	2	ajdective
concise	positive	0.4	2	ajdective
configurable	positive	0.4	2	ajdective
consistent	positive	0.4	2	ajdective
convincing	positive	0.4	2	ajdective
cool	positive	0.4	2	ajdective
copious	positive	0.4	2	ajdective
cordial	positive	0.4	2	ajdective
courageous	positive	0.4	2	ajdective
coying	positive	0.4	2	ajdective
cut-rate	positive	0.4	2	ajdective
decent-sized	positive	0.4	2	ajdective
decorative	positive	0.4	2	ajdective
delicate	positive	0.4	2	ajdective
dexterous	positive	0.4	2	ajdective
diligent	positive	0.4	2	ajdective
dual-stage	positive	0.4	2	ajdective
dual-zone	positive	0.4	2	ajdective
dynamic	positive	0.4	2	ajdective
eager	positive	0.4	2	ajdective
earnest	positive	0.4	2	ajdective
edgy	positive	0.4	2	ajdective
efficient	positive	0.4	2	ajdective
elaborate	positive	0.4	2	ajdective
electronic	positive	0.4	2	ajdective
erotic	positive	0.4	2	ajdective
essential	positive	0.4	2	ajdective
eternal	positive	0.4	2	ajdective
ethereal	positive	0.4	2	ajdective
eventful	positive	0.4	2	ajdective
ever-evolving	positive	0.4	2	ajdective
ever-faithful	positive	0.4	2	ajdective
evocative	positive	0.4	2	ajdective
faithful	positive	0.4	2	ajdective
fast-paced	positive	0.4	2	ajdective
fine	positive	0.4	2	ajdective
flat-panel	positive	0.4	2	ajdective
fond	positive	0.4	2	ajdective
formidable	positive	0.4	2	ajdective
free-spirited	positive	0.4	2	ajdective
fresh	positive	0.4	2	ajdective
frisky	positive	0.4	2	ajdective
fruitful	positive	0.4	2	ajdective
full-fledged	positive	0.4	2	ajdective
full-size	positive	0.4	2	ajdective
generous	positive	0.4	2	ajdective
genious	positive	0.4	2	ajdective
gentle	positive	0.4	2	ajdective
genuine	positive	0.4	2	ajdective
germ-free	positive	0.4	2	ajdective
gifted	positive	0.4	2	ajdective
glad	positive	0.4	2	ajdective
good-natured	positive	0.4	2	ajdective
grateful	positive	0.4	2	ajdective
gut-busting	positive	0.4	2	ajdective
handy	positive	0.4	2	ajdective
hard-working	positive	0.4	2	ajdective
hardy	positive	0.4	2	ajdective
hearty	positive	0.4	2	ajdective
heavy-duty	positive	0.4	2	ajdective
helpful	positive	0.4	2	ajdective
hit	positive	0.4	2	ajdective
home-cooked	positive	0.4	2	ajdective
honest	positive	0.4	2	ajdective
honorable	positive	0.4	2	ajdective
hopeful	positive	0.4	2	ajdective
humble	positive	0.4	2	ajdective
inexhaustible	positive	0.4	2	ajdective
infectious	positive	0.4	2	ajdective
influential	positive	0.4	2	ajdective
informative	positive	0.4	2	ajdective
innocent	positive	0.4	2	ajdective
intensive	positive	0.4	2	ajdective
intoxicating	positive	0.4	2	ajdective
keen	positive	0.4	2	ajdective
kind	positive	0.4	2	ajdective
kindly	positive	0.4	2	ajdective
ladylike	positive	0.4	2	ajdective
leisurely	positive	0.4	2	ajdective
liberal	positive	0.4	2	ajdective
lighthearted	positive	0.4	2	ajdective
light-hearted	positive	0.4	2	ajdective
likeable	positive	0.4	2	ajdective
listenable	positive	0.4	2	ajdective
lovely	positive	0.4	2	ajdective
loving	positive	0.4	2	ajdective
loyal	positive	0.4	2	ajdective
luaus	positive	0.4	2	ajdective
lucky	positive	0.4	2	ajdective
meaty	positive	0.4	2	ajdective
melodic	positive	0.4	2	ajdective
merry	positive	0.4	2	ajdective
mind-blowing	positive	0.4	2	ajdective
modern	positive	0.4	2	ajdective
mystical	positive	0.4	2	ajdective
natural	positive	0.4	2	ajdective
near-silence	positive	0.4	2	ajdective
neat	positive	0.4	2	ajdective
new	positive	0.4	2	ajdective
nice	positive	0.4	2	ajdective
nice-looking	positive	0.4	2	ajdective
nicely-finished	positive	0.4	2	ajdective
nicely-tuned	positive	0.4	2	ajdective
nice-sounding	positive	0.4	2	ajdective
nifty	positive	0.4	2	ajdective
noble	positive	0.4	2	ajdective
normal	positive	0.4	2	ajdective
nostalgic	positive	0.4	2	ajdective
noteworthy	positive	0.4	2	ajdective
