term	valence	score	POS
able	positive	0.125	a
unable	negative	-0.75	a
dissilient	positive	0.25	a
parturient	positive	0.25	a
uncut	positive	0.5	a
full-length	positive	0.5	a
absolute	positive	0.5	a
direct	positive	0.75	a
unquestioning	positive	0.5	a
unquestioning	negative	-0.5	a
implicit	positive	0.5	a
implicit	negative	-0.5	a
infinite	positive	0.125	a
living	positive	0.5	a
living	negative	-0.125	a
relative	positive	0.25	a
relative	negative	-0.5	a
comparative	positive	0.25	a
comparative	negative	-0.5	a
sorbefacient	positive	0.375	a
absorbefacient	positive	0.375	a
assimilatory	negative	-0.75	a
assimilative	negative	-0.75	a
assimilating	negative	-0.75	a
receptive	negative	-0.125	a
nonabsorptive	negative	-0.5	a
nonabsorbent	negative	-0.5	a
resistant	negative	-0.5	a
repellent	negative	-0.5	a
chemosorptive	negative	-0.25	a
chemisorptive	negative	-0.25	a
nonadsorptive	negative	-0.25	a
nonadsorbent	negative	-0.25	a
absorbable	positive	0.5	a
adsorbate	positive	0.25	a
adsorbable	positive	0.25	a
abstinent	negative	-0.625	a
abstentious	negative	-0.625	a
spartan	positive	0.5	a
spartan	negative	-0.25	a
austere	positive	0.5	a
austere	negative	-0.25	a
ascetical	positive	0.5	a
ascetical	negative	-0.25	a
ascetic	positive	0.5	a
ascetic	negative	-0.25	a
crapulous	negative	-0.5	a
crapulent	negative	-0.5	a
swinish	negative	-0.125	a
porcine	negative	-0.125	a
piggy	negative	-0.125	a
piggish	negative	-0.125	a
hoggish	negative	-0.125	a
too-greedy	positive	0.125	a
too-greedy	negative	-0.375	a
overgreedy	positive	0.125	a
overgreedy	negative	-0.375	a
notional	positive	0.375	a
ideational	positive	0.375	a
conceptional	positive	0.375	a
conceptual	positive	0.375	a
conceptual	negative	-0.25	a
ideological	positive	0.125	a
ideological	negative	-0.125	a
ideologic	positive	0.125	a
ideologic	negative	-0.125	a
concrete	positive	0.625	a
concrete	negative	-0.25	a
abundant	negative	-0.25	a
galore	negative	-0.25	a
abounding	negative	-0.25	a
rich	positive	0.125	a
plentiful	positive	0.125	a
plenteous	positive	0.125	a
copious	positive	0.125	a
ample	positive	0.125	a
easy	positive	0.25	a
easy	negative	-0.625	a
riotous	negative	-0.25	a
profuse	negative	-0.25	a
luxuriant	negative	-0.25	a
lush	negative	-0.25	a
exuberant	negative	-0.25	a
thick	negative	-0.5	a
long	positive	0.125	a
long	negative	-0.375	a
rife	positive	0.125	a
rife	negative	-0.5	a
plethoric	positive	0.125	a
plethoric	negative	-0.5	a
overabundant	positive	0.125	a
overabundant	negative	-0.5	a
plentiful	negative	-0.25	a
rank	negative	-0.25	a
superabundant	positive	0.125	a
superabundant	negative	-0.5	a
torrential	negative	-0.375	a
verdant	positive	0.125	a
verdant	negative	-0.5	a
scarce	negative	-0.25	a
rare	negative	-0.875	a
tight	negative	-0.625	a
mistreated	negative	-0.625	a
maltreated	negative	-0.625	a
ill-treated	negative	-0.625	a
abused	negative	-0.625	a
battered	negative	-0.75	a
unabused	positive	0.375	a
unabused	negative	-0.25	a
acceptable	positive	0.625	a
bankable	positive	0.25	a
unimpeachable	positive	0.25	a
unimpeachable	negative	-0.625	a
unexceptionable	positive	0.25	a
unexceptionable	negative	-0.625	a
unobjectionable	negative	-0.5	a
unacceptable	positive	0.125	a
unacceptable	negative	-0.375	a
objectionable	negative	-0.375	a
exceptionable	negative	-0.375	a
accessible	positive	0.625	a
reachable	positive	0.375	a
approachable	positive	0.375	a
getatable	positive	0.625	a
get-at-able	positive	0.625	a
come-at-able	positive	0.625	a
ready to hand	positive	0.125	a
ready to hand	negative	-0.125	a
handy	positive	0.125	a
handy	negative	-0.125	a
unaccessible	positive	0.5	a
unaccessible	negative	-0.125	a
inaccessible	positive	0.5	a
inaccessible	negative	-0.125	a
remote	positive	0.125	a
outback	positive	0.125	a
untrodden	positive	0.125	a
untrodden	negative	-0.25	a
untrod	positive	0.125	a
untrod	negative	-0.25	a
untracked	positive	0.125	a
untracked	negative	-0.25	a
trackless	positive	0.125	a
trackless	negative	-0.25	a
roadless	positive	0.125	a
roadless	negative	-0.25	a
pathless	positive	0.125	a
pathless	negative	-0.25	a
ungetatable	negative	-0.625	a
un-get-at-able	negative	-0.625	a
un-come-at-able	negative	-0.625	a
accommodative	positive	0.5	a
accommodating	positive	0.5	a
obliging	positive	0.75	a
complaisant	positive	0.75	a
unobliging	positive	0.25	a
unobliging	negative	-0.25	a
unaccommodating	positive	0.25	a
unaccommodating	negative	-0.25	a
uncooperative	positive	0.125	a
uncooperative	negative	-0.25	a
disobliging	positive	0.125	a
disobliging	negative	-0.25	a
accurate	positive	0.5	a
faithful	positive	0.625	a
close	positive	0.625	a
dead-on	positive	0.625	a
dead-on	negative	-0.25	a
high-fidelity	positive	0.5	a
high-fidelity	negative	-0.125	a
hi-fi	positive	0.5	a
hi-fi	negative	-0.125	a
surgical	positive	0.5	a
true	positive	0.125	a
dead on target	positive	0.125	a
veracious	positive	0.875	a
right	positive	0.875	a
inaccurate	positive	0.125	a
inaccurate	negative	-0.625	a
wrong	positive	0.125	a
wrong	negative	-0.75	a
incorrect	positive	0.125	a
incorrect	negative	-0.75	a
faulty	positive	0.125	a
faulty	negative	-0.75	a
unfaithful	negative	-0.5	a
wide of the mark	negative	-0.625	a
wide	negative	-0.625	a
accustomed	positive	0.125	a
wont to	negative	-0.375	a
used to	negative	-0.375	a
unaccustomed	negative	-0.75	a
new	negative	-0.125	a
unused	negative	-0.125	a
acidic	negative	-0.125	a
acid	negative	-0.375	a
acid-forming	negative	-0.5	a
alkalescent	positive	0.125	a
alkalescent	negative	-0.375	a
alcalescent	positive	0.125	a
alcalescent	negative	-0.375	a
basic	positive	0.25	a
base-forming	positive	0.125	a
base-forming	negative	-0.125	a
saltlike	positive	0.25	a
saltlike	negative	-0.125	a
amphoteric	positive	0.5	a
amphiprotic	positive	0.5	a
acid-loving	negative	-0.25	a
alkaline-loving	negative	-0.25	a
acknowledged	positive	0.125	a
recognized	positive	0.5	a
recognised	positive	0.5	a
accepted	positive	0.5	a
self-confessed	negative	-0.125	a
assumptive	positive	0.25	a
declarable	positive	0.375	a
putative	positive	0.125	a
unacknowledged	negative	-0.625	a
unvalued	negative	-0.375	a
unsung	negative	-0.375	a
unappreciated	negative	-0.375	a
unavowed	positive	0.25	a
secret	positive	0.25	a
unconfessed	negative	-0.375	a
unrecognized	negative	-0.5	a
unrecognised	negative	-0.5	a
accumulative	positive	0.375	a
voracious	positive	0.25	a
voracious	negative	-0.5	a
ravening	positive	0.25	a
ravening	negative	-0.5	a
rapacious	positive	0.25	a
rapacious	negative	-0.5	a
sordid	negative	-0.5	a
unacquisitive	negative	-0.5	a
active	positive	0.5	a
active	negative	-0.125	a
gymnastic	positive	0.375	a
athletic	positive	0.375	a
acrobatic	positive	0.375	a
hot	positive	0.5	a
overactive	positive	0.25	a
hyperactive	positive	0.25	a
on the go	positive	0.125	a
sporty	positive	0.25	a
inactive	positive	0.375	a
inactive	negative	-0.5	a
deskbound	positive	0.125	a
desk-bound	positive	0.125	a
dormant	positive	0.25	a
dormant	negative	-0.375	a
abeyant	positive	0.25	a
abeyant	negative	-0.375	a
underactive	negative	-0.625	a
hypoactive	negative	-0.625	a
