term	valence	frequency
abandoned	negative	1416
absolved	positive	36
absorbed	positive	855
abused	negative	386
accepted	positive	4361
accused	negative	1216
aching	negative	200
acknowledged	positive	731
acquitted	positive	197
acrimonious	negative	137
active	positive	7290
addicted	negative	109
adequate	positive	3571
admired	positive	337
adorable	positive	16
adored	positive	38
affected	negative	4467
affectionate	positive	333
afflicted	negative	125
affronted	negative	32
afraid	negative	5967
aggressive	negative	8
aghast	negative	170
agitated	negative	49
agog	negative	30
agonized	negative	7
airy	positive	260
alarmed	negative	269
alarmed	negative	269
alert	positive	253
alone	negative	2081
ambivalent	negative	280
ambivalent	negative	280
amused	positive	309
angry	negative	4226
anguish	negative	569
animated	positive	30
animosity	negative	18
annoyed	negative	286
antagonistic	negative	160
anticipation	positive	8
anxious	negative	13
apathetic	negative	9
appalled	negative	328
appeased	positive	23
appreciated	positive	862
apprehensive	negative	303
approval	positive	3919
ardent	positive	250
aroused	positive	376
arrogant	negative	642
artificiality	positive	62
ashamed	negative	1100
astonished	positive	291
astonished	positive	291
astounded	positive	48
attacked	negative	1346
attraction	positive	38
audacious	positive	99
autonomous	positive	38
autonomous	positive	38
avid	positive	166
aware	positive	10764
awed	positive	42
awkward	negative	30
bad	negative	24
baffled	negative	139
balanced	positive	481
bashful	negative	6
beatific	positive	17
beautiful	positive	8670
belonging	positive	1237
bereaved	negative	17
betrayed	negative	326
bewildered	negative	40
bewildered	negative	40
bitter	negative	22
bliss	positive	6
blissful	positive	112
blithe	positive	40
blocked	negative	603
blue	negative	6
blur	negative	84
boiling	negative	171
bold	positive	50
bored	negative	158
boredom	negative	30
brave	positive	50
bright	positive	8
brisk	negative	513
buoyant	positive	360
burdened	negative	119
calm	positive	446
calm	positive	446
capable	positive	4943
captivated	negative	63
careless	positive	14
careless	negative	14
categorized	negative	82
caution	negative	51
cautious	negative	7
certain	positive	21626
certain	positive	21626
challenged	negative	817
chastised	negative	13
cheated	negative	124
cheerful	positive	10
cheerless	positive	49
cheery	positive	175
cherished	positive	69
chicken	negative	24
childish	negative	25
clear	positive	3275
clever	positive	2357
clouded	negative	89
cocky	positive	8
coerced	negative	73
comfortable	positive	20
comfortable	positive	20
committed	positive	2712
common	positive	413
compassionate	positive	246
compelled	positive	416
competent	positive	1231
competitive	positive	29
complacency	negative	6
complacent	negative	309
complexity	negative	17
composed	positive	617
composed	positive	617
concerned	negative	824
confident	positive	3242
confused	negative	949
connected	positive	1499
conned	negative	63
conspicuous	positive	754
constraint	negative	648
consumed	positive	409
contempt	negative	11
content	positive	85
contented	positive	45
controlled	negative	1936
convivial	positive	81
cornered	negative	74
courageous	positive	376
courteous	positive	269
cowardly	negative	146
craving	positive	45
crestfallen	negative	26
criticism	negative	4765
criticized	negative	685
cross	negative	1301
cross-examined	negative	59
cruel	negative	1388
crushed	negative	353
curious	positive	25
cynical	negative	761
daring	positive	350
dark	negative	305
dauntless	positive	136
debonair	positive	58
deceitful	negative	79
deceived	negative	189
deceived	negative	189
decisive	positive	1228
dedicated	positive	473
defeated	negative	787
defiant	negative	359
degraded	negative	59
dejected	negative	10
delighted	positive	396
demoralized	negative	10
dependence	negative	7
dependent	negative	6
depressed	negative	139
depression	negative	116
deserted	negative	346
deserving	positive	274
desirable	positive	2102
desire	positive	144
desirous	positive	46
despair	negative	146
despairing	negative	14
desperate	negative	2608
despondent	positive	89
destructive	negative	785
detached	negative	153
determined	positive	4174
devastated	negative	309
different	negative	48373
diffident	negative	40
dim	negative	41
diminished	negative	313
disappointed	negative	988
discarded	negative	299
disconnected	negative	74
disconsolate	negative	19
discontented	negative	103
discounted	negative	174
discouraged	negative	261
discredited	negative	96
disgraced	negative	22
disgusted	negative	132
disheartened	negative	15
disillusioned	negative	73
disinclined	negative	45
disjointed	negative	11
dismal	negative	8
dismayed	negative	164
disorganized	negative	13
disoriented	negative	39
disparaged	negative	13
displeased	negative	63
disqualification	negative	6
disregard	negative	158
disrespect	negative	33
dissatisfied	negative	221
distracted	negative	228
distressed	negative	214
distrustful	negative	48
disturbed	negative	696
divided	negative	2786
dolorous	negative	7
dominated	negative	1506
doubtful	negative	8
doubtful	negative	8
down	negative	10
downcast	negative	86
downhearted	negative	12
drained	negative	254
dreadful	negative	31
dreary	positive	272
droopy	positive	27
dubious	negative	720
dull	negative	39
dumb	negative	752
duped	negative	56
eager	positive	1432
earnest	positive	292
earthy	positive	140
ecstatic	positive	6
elated	positive	41
embarrassed	negative	134
embittered	negative	17
empathetic	positive	28
empty	negative	218
encouraged	positive	2571
energetic	positive	74
engrossed	positive	66
enlightened	positive	38
ennui	negative	28
enraged	negative	68
enterprising	positive	43
enthusiastic	positive	30
entrusted	positive	254
envious	negative	184
envy	negative	125
evil	negative	590
exasperated	negative	54
excited	positive	407
excited	positive	407
excluded	negative	1454
exempt	negative	98
exhausted	negative	534
exhilarated	positive	27
exploited	negative	571
exposed	negative	1126
exuberant	positive	199
exultant	positive	54
fabulous	positive	7
failure	negative	7762
fantastic	positive	13
fascinated	positive	436
fatigue	negative	507
fear	negative	667
fearful	negative	9
fervent	positive	185
fervid	positive	9
festive	positive	12
fidgety	negative	41
firm	positive	12
flat	negative	2808
flustered	positive	26
focused	positive	812
fond	positive	1175
foolish	negative	12
forced	negative	4843
forgiving	positive	156
forsaken	negative	47
forsaken	negative	47
fortunate	positive	1292
framed	positive	270
frank	positive	6
frantic	positive	35
free	positive	823
friendly	positive	21
frightened	negative	700
frisky	negative	36
frowning	negative	357
frozen	negative	859
frustrated	negative	311
frustration	negative	28
fulfilled	positive	496
full	positive	30
fuming	negative	89
funereal	negative	40
furious	negative	58
futile	negative	359
gaiety	positive	12
gallant	positive	8
generosity	positive	9
genial	positive	167
giddy	positive	111
glad	positive	4068
glad	positive	4068
gleeful	positive	52
gloom	negative	10
gloomy	negative	672
glum	negative	117
good	positive	2340
grateful	positive	2735
great	positive	1861
greedy	negative	11
grief	negative	6
grief-stricken	negative	38
grievance	negative	215
grieved	negative	25
guilt	negative	7
guilty	negative	4233
gullible	negative	131
hapless	negative	8
hardy	negative	678
harried	negative	26
haste	negative	9
hate	negative	784
hated	negative	178
hatred	negative	1051
haughty	negative	111
heartbroken	negative	124
helpful	positive	14
helpless	negative	11
heroic	positive	6
hesitant	negative	283
high-spirited	positive	54
hilarious	positive	7
homesick	negative	145
hopeful	positive	723
hopeless	negative	19
horny	positive	86
horrible	negative	42
horrified	negative	327
horrified	negative	327
hostile	negative	1644
hostility	negative	10
humiliated	negative	108
humiliation	negative	587
humorous	positive	438
hurt	negative	1168
hysterical	negative	8
ignored	negative	1431
immobilized	negative	13
immortal	positive	262
immune	positive	984
important	positive	39265
impotent	negative	37
impressed	positive	1427
imprisoned	negative	453
inadequate	negative	2319
incapable	negative	845
incensed	positive	103
included	positive	4729
incompetent	negative	28
inconsiderate	negative	43
indecisive	negative	97
independent	positive	1809
indestructible	positive	99
indifferent	negative	619
indignant	negative	270
ineffective	negative	6
infatuated	negative	14
inferior	negative	8
inflamed	negative	42
infuriated	negative	69
initiative	positive	3647
injured	negative	1144
inquisitive	positive	173
insecure	negative	340
insignificant	negative	18
inspired	positive	871
inspiring	positive	140
insulted	negative	96
intense	positive	2347
intent	positive	6
interest	positive	33
interested	positive	362
interrogated	negative	89
intimidated	negative	128
intricate	negative	533
intrigued	negative	231
invalidated	negative	46
invincible	positive	22
involved	positive	7572
invulnerable	positive	52
irate	negative	121
irresolute	negative	19
irresponsible	negative	430
irritable	negative	341
irritated	negative	160
isolated	negative	2813
jaunty	positive	98
jealous	negative	43
jocular	positive	61
jolly	positive	21
jovial	positive	115
joyful	positive	6
joyless	negative	46
joyous	positive	170
jubilant	positive	111
judged	negative	1056
jumpy	negative	71
keen	positive	15
kind	positive	21900
labeled	positive	7
lackadaisical	negative	17
laughter	positive	83
lazy	negative	24
leniency	positive	92
lethargic	negative	111
lighthearted	positive	12
liked	positive	1236
lively	positive	1472
livid	negative	131
loneliness	negative	26
lonely	negative	1753
lonesome	negative	14
longing	negative	339
lost	negative	9069
lovable	positive	150
love	positive	3339
loved	positive	971
loving	positive	399
low	negative	557
lucky	positive	101
lugubrious	negative	71
lustful	negative	40
mad	negative	3149
manipulated	negative	294
mature	positive	163
mean	negative	11378
meditative	negative	74
melancholy	negative	96
menaced	negative	21
merry	positive	35
methodical	positive	147
mirth	negative	15
miserable	negative	6
misery	negative	7
misgiving	negative	7
misinterpreted	negative	73
misunderstood	negative	206
mockery	negative	337
moody	negative	182
moping	negative	28
motivated	positive	527
mournful	negative	132
murderous	negative	234
natural	positive	22
naughty	negative	24
needed	negative	6110
needy	negative	247
nervous	negative	14
nervous	negative	14
nice	positive	496
nosey	negative	13
numb	negative	13
obligated	negative	8
obliterate	negative	64
obnoxious	negative	144
odd	negative	4478
offended	negative	260
oppressed	negative	74
optimistic	positive	6
ordinary	negative	15
organized	positive	984
outraged	negative	181
overjoyed	positive	34
overlooked	negative	467
overwhelmed	negative	396
overwhelmed	negative	396
pained	negative	15
panicked	negative	63
passionate	positive	922
passive	negative	182
pathetic	negative	20
patient	positive	9
peaceful	positive	16
pensive	positive	59
perplexed	negative	59
persecuted	negative	86
perturbed	negative	66
pessimistic	negative	380
petrified	negative	39
phobic	negative	21
piqued	negative	11
piteous	negative	26
pitied	negative	23
playful	positive	203
pleasant	positive	2708
