term	valence	score	VADER-score	standard deviation	human raters
$:	negative	-0,375	-1,5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	negative	-0,1	-0,4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	negative	-0,375	-1,5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
&-:	negative	-0,1	-0,4	1.42829	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
&:	negative	-0,175	-0,7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
( '}{' )	positive	0,4	1,6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
(%	negative	-0,225	-0,9	0.9434	[0, 0, 1, -1, -1, -1, -2, -2, -1, -2]
('-:	positive	0,55	2,2	1.16619	[4, 1, 4, 3, 1, 2, 3, 1, 2, 1]
(':	positive	0,575	2,3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
((-:	positive	0,525	2,1	0.53852	[2, 2, 2, 1, 2, 3, 2, 2, 3, 2]
(*	positive	0,275	1,1	1.13578	[2, 1, 1, -1, 1, 2, 2, -1, 2, 2]
(-%	negative	-0,175	-0,7	1.26886	[-1, 2, 0, -1, -1, -2, 0, 0, -3, -1]
(-*	positive	0,325	1,3	1.26886	[4, 1, 2, 0, 2, -1, 1, 2, 1, 1]
(-:	positive	0,4	1,6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
(-:0	positive	0,7	2,8	0.87178	[3, 2, 3, 4, 3, 2, 3, 1, 4, 3]
(-:<	negative	-0,1	-0,4	2.15407	[-3, 3, -1, -1, 2, -1, -2, 3, -3, -1]
(-:o	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:O	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:{	negative	-0,025	-0,1	1.57797	[-2, -3, 1, -2, 1, 1, 0, 0, 2, 1]
(-:|>*	positive	0,475	1,9	0.83066	[3, 2, 2, 1, 0, 2, 3, 2, 2, 2]
(-;	positive	0,325	1,3	1.18743	[3, 2, 3, 0, 1, -1, 1, 2, 1, 1]
(-;|	positive	0,525	2,1	1.13578	[3, 2, 2, 4, 1, 1, 1, 4, 2, 1]
(8	positive	0,65	2,6	1.0198	[4, 2, 1, 3, 3, 3, 3, 1, 2, 4]
(:	positive	0,55	2,2	1.16619	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]
(:0	positive	0,6	2,4	1.11355	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]
(:<	negative	-0,05	-0,2	2.03961	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]
(:o	positive	0,625	2,5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(:O	positive	0,625	2,5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(;	positive	0,275	1,1	1.22066	[3, 1, 1, -1, 1, 2, 2, -1, 1, 2]
(;<	positive	0,075	0,3	1.00499	[1, 2, -1, -1, 0, 0, 1, -1, 1, 1]
(=	positive	0,55	2,2	1.16619	[3, 1, 2, 2, 1, 1, 4, 3, 4, 1]
(?:	positive	0,525	2,1	0.83066	[2, 2, 1, 3, 2, 2, 4, 1, 2, 2]
(^:	positive	0,375	1,5	0.67082	[1, 2, 2, 1, 3, 2, 1, 1, 1, 1]
(^;	positive	0,375	1,5	0.5	[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]
(^;0	positive	0,5	2	0.7746	[2, 2, 1, 2, 1, 4, 2, 2, 2, 2]
(^;o	positive	0,475	1,9	0.83066	[2, 2, 1, 2, 1, 4, 2, 1, 2, 2]
(o:	positive	0,4	1,6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
)':	negative	-0,5	-2	0.44721	[-2, -2, -2, -2, -1, -3, -2, -2, -2, -2]
)-':	negative	-0,525	-2,1	0.53852	[-2, -2, -3, -2, -1, -2, -3, -2, -2, -2]
)-:	negative	-0,525	-2,1	0.9434	[-3, -2, -4, -1, -3, -2, -2, -2, -1, -1]
)-:<	negative	-0,55	-2,2	0.4	[-2, -2, -2, -2, -2, -2, -3, -3, -2, -2]
)-:{	negative	-0,525	-2,1	0.9434	[-1, -3, -2, -1, -2, -2, -3, -4, -1, -2]
):	negative	-0,45	-1,8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]
):<	negative	-0,475	-1,9	0.53852	[-1, -3, -2, -2, -2, -1, -2, -2, -2, -2]
):{	negative	-0,575	-2,3	0.78102	[-1, -2, -3, -3, -2, -2, -4, -2, -2, -2]
);<	negative	-0,65	-2,6	0.8	[-2, -2, -2, -3, -2, -3, -2, -2, -4, -4]
*)	positive	0,15	0,6	1.42829	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]
*-)	positive	0,075	0,3	1.61555	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]
*-:	positive	0,525	2,1	1.51327	[2, 2, 4, 4, 2, 1, -1, 4, 1, 2]
*-;	positive	0,6	2,4	1.62481	[2, 3, 4, 4, 2, 1, -1, 4, 1, 4]
*:	positive	0,475	1,9	1.04403	[2, 1, 1, 3, 1, 2, 4, 3, 1, 1]
*<|:-)	positive	0,4	1,6	1.28062	[0, 1, 3, 1, 1, 2, 3, 0, 4, 1]
*\0/*	positive	0,575	2,3	1.00499	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]
*^:	positive	0,4	1,6	1.42829	[2, 2, 1, 3, 2, 2, 3, 3, -1, -1]
,-:	positive	0,3	1,2	0.4	[1, 1, 2, 1, 1, 1, 1, 1, 2, 1]
---'-;-{@	positive	0,575	2,3	1.18743	[0, 1, 3, 4, 2, 3, 2, 2, 2, 4]
--<--<@	positive	0,55	2,2	1.249	[0, 1, 2, 4, 2, 1, 3, 2, 3, 4]
.-:	negative	-0,3	-1,2	0.4	[-1, -1, -1, -1, -1, -1, -2, -1, -2, -1]
..###-:	negative	-0,425	-1,7	0.78102	[-2, -3, -3, -2, -1, -1, -1, -1, -1, -2]
..###:	negative	-0,475	-1,9	1.04403	[-4, -1, -3, -1, -2, -2, -1, -3, -1, -1]
/-:	negative	-0,325	-1,3	0.64031	[-1, -1, -1, -1, -1, -1, -1, -2, -3, -1]
/:	negative	-0,325	-1,3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -2, -1, -1]
/:<	negative	-0,35	-1,4	0.4899	[-1, -2, -2, -1, -1, -1, -1, -1, -2, -2]
/=	negative	-0,225	-0,9	0.53852	[-1, -1, -1, 0, -1, -2, -1, -1, -1, 0]
/^:	negative	-0,25	-1	0.7746	[-2, -1, -2, 1, -1, -1, -1, -1, -1, -1]
/o:	negative	-0,35	-1,4	0.66332	[0, -2, -1, -1, -2, -2, -1, -2, -1, -2]
0-8	positive	0,025	0,1	1.44568	[2, -1, -2, 0, 2, 0, 2, 0, -2, 0]
0-|	negative	-0,3	-1,2	0.4	[-2, -1, -1, -1, -1, -1, -1, -1, -2, -1]
0:)	positive	0,475	1,9	1.04403	[2, 2, 2, 1, 0, 2, 4, 1, 3, 2]
0:-)	positive	0,35	1,4	0.91652	[2, 1, 0, 1, 2, 3, 2, 1, 2, 0]
0:-3	positive	0,375	1,5	0.92195	[2, 1, 0, 2, 2, 3, 2, 1, 2, 0]
00:03	positive	11:24	1,9	1.22066	[2, 3, 2, 0, 0, 1, 4, 2, 3, 2]
0;^)	positive	0,4	1,6	0.91652	[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]
