term	valence	score
a plus	positive	1
abandon	positive	-0.75
abandoned	positive	-0.5
abandoner	positive	-0.25
abandonment	positive	-0.25
abandons	negative	-1
abducted	negative	-1
abduction	positive	-0.5
abductions	negative	-1
aberrant	positive	-0.6
aberration	positive	-0.8
abhor	positive	-0.5
abhorred	negative	-1
abhorrent	positive	-0.5
abhors	negative	-1
abilities	positive	0.6
ability	positive	0.5
abject	negative	-1
ablaze	positive	-0.25
abnormal	positive	-0.5
aboard	positive	0.25
abolish	positive	-0.5
abominable	positive	-0.5
abominably	negative	-1
abominate	negative	-1
abomination	positive	-0.5
abort	positive	-0.5
aborted	positive	-0.8
abortion	positive	-0.8
abortive	negative	-1
aborts	positive	-0.6
abound	positive	0.25
abounds	positive	0.25
above average	positive	1
abrade	negative	-1
abrasion	positive	-0.6
abrasive	positive	-0.5
abrogate	positive	-0.4
abrupt	positive	-0.25
abruptly	positive	-0.25
abscess	positive	-0.5
abscond	negative	-1
absence	positive	-0.5
absent	positive	-0.6
absent minded	negative	-1
absentee	positive	-0.75
absenteeism	negative	-1
absentees	positive	-0.6
absentminded	positive	-0.8
absolute	positive	-0.25
absolution	positive	0.1
absolve	positive	1
absolved	positive	1
absolves	positive	1
absolving	positive	1
absorbed	positive	0.5
abstinence	positive	-0.25
abstractedly	positive	-0.25
abstraction	positive	-0.25
absurd	positive	-0.75
absurdity	positive	-0.5
absurdly	positive	-0.8
absurdness	positive	-0.8
abundance	positive	0.6
abundant	positive	0.5
abuse	negative	-1
abused	positive	-0.75
abuses	positive	-0.5
abusive	positive	-0.5
abysmal	positive	-0.5
abysmally	negative	-1
abyss	positive	-0.75
academic	positive	0.4
academy	positive	0.4
accentuated	positive	0.25
accept	positive	1
acceptable	positive	0.5
acceptance	positive	0.8
accepted	positive	0.8
accepting	positive	0.6
accepts	positive	0.8
accessable	positive	0.8
accessible	positive	0.75
accident	positive	-0.5
accidental	negative	-1
accidentally	positive	-0.6
accidents	positive	-0.6
acclaim	positive	0.6
acclaimed	positive	0.6
acclamation	positive	0.6
accolade	positive	0.5
accolades	positive	0.6
accommodation	positive	0.4
accommodative	positive	0.8
accomodative	positive	1
accompaniment	positive	0.6
accompany	positive	0.4
accompanying	positive	0.25
accomplish	positive	0.75
accomplished	positive	0.75
accomplishes	positive	0.8
accomplishment	positive	0.5
accomplishments	positive	1
accord	positive	0.8
accordingly	positive	0.25
accost	positive	-0.8
accosted	positive	-0.8
accountability	positive	0.8
accountable	positive	0.8
accountant	positive	-0.25
accredited	positive	0.8
accumulate	positive	0.25
accurate	positive	0.5
accurately	positive	0.6
accursed	positive	-0.5
accusation	negative	-1
