term	valence		
abase	negative		
abash	negative		
abashed	negative		
abashment	negative		
abhor	negative		
abhorrence	negative		
abhorrent	negative		
abjectly	negative		
abominably	negative		
abominate	negative		
abomination	negative		
affectionate	negative		
affright	negative		
afraid	negative		
aggravate	negative		
aggravated	negative		
aggravation	negative		
aggression	negative		
aggressive	negative		
aggressiveness	negative		
aggrieve	negative		
alarm	negative		
alarmed	negative		
alert	negative		
alien	negative		
alienate	negative		
alienated	negative		
alienation	negative		
amok	negative		
amuck	negative		
anger	negative		
angered	negative		
angrily	negative		
angry	negative		
angst	negative		
animosity	negative		
animus	negative		
annoy	negative		
annoyance	negative		
annoyed	negative		
annoying	negative		
anomic	negative		
antagonism	negative		
antipathy	negative		
antsy	negative		
anxiety	negative		
anxious	negative		
anxiously	negative		
anxiousness	negative		
appal	negative		
appall	negative		
apprehension	negative		
apprehensive	negative		
apprehensively	negative		
apprehensiveness	negative		
ashamed	negative		
atrocious	negative		
attrition	negative		
avaricious	negative		
aversion	negative		
awful	negative		
awfully	negative		
awkward	negative		
bad	negative		
bad blood	negative		
bad temper	negative		
bashfully	negative		
bashfulness	negative		
bedaze	negative		
bedevil	negative		
begrudge	negative		
belligerence	negative		
belligerency	negative		
belligerent	negative		
belligerently	negative		
bereaved	negative		
bereft	negative		
beset	negative		
bitterness	negative		
black	negative		
blue	negative		
blue devils	negative		
blues	negative		
boding	negative		
bored	negative		
bother	negative		
bothersome	negative		
broken	negative		
brokenheartedness	negative		
brood	negative		
bulk large	negative		
care	negative		
cast down	negative		
chafe	negative		
chagrin	negative		
chagrined	negative		
cheerless	negative		
cheerlessly	negative		
cheerlessness	negative		
chevvy	negative		
chevy	negative		
chill	negative		
chilling	negative		
chivvy	negative		
chivy	negative		
choler	negative		
choleric	negative		
churn up	negative		
class feeling	negative		
coldheartedness	negative		
commiserate	negative		
commiseration	negative		
compassion	negative		
compassionate	negative		
compassionateness	negative		
compunction	negative		
concern	negative		
concerned	negative		
condole with	negative		
confuse	negative		
confused	negative		
confusedly	negative		
